Iteration,Cost,Temperature,Sequence
0,17,1000,2 3 1
1,22,900,2 1 3
2,26,810,1 2 3
3,21,729,1 3 2
4,17,656,1,2 3 1
5,22,590,49,2 1 3
6,26,531,441,1 2 3
7,22,478,2969,2 1 3
8,17,430,4672,2 3 1
9,21,387,4205,1 3 2
10,26,348,6784,1 2 3
11,27,313,8106,3 2 1
12,27,282,4295,3 1 2
13,21,254,1866,1 3 2
14,26,228,7679,1 2 3
15,27,205,8911,3 2 1
16,27,185,302,3 1 2
17,27,166,7718,3 2 1
18,26,150,0947,1 2 3
19,22,135,0852,2 1 3
20,17,121,5767,2 3 1
21,27,109,419,3 2 1
22,17,98,4771,2 3 1
23,21,88,62939,1 3 2
24,27,79,76645,3 1 2
25,22,71,7898,2 1 3
26,17,64,61082,2 3 1
27,27,58,14974,3 2 1
28,17,52,33477,2 3 1
29,27,47,10129,3 2 1
30,26,42,39116,1 2 3
31,27,38,15204,3 2 1
32,17,34,33684,2 3 1
33,17,30,90315,2 3 1
34,22,27,81284,2 1 3
35,17,25,03156,2 3 1
36,27,22,5284,3 2 1
37,27,20,27556,3 1 2
38,27,18,248,3 2 1
39,27,16,4232,3 1 2
40,21,14,78088,1 3 2
41,27,13,3028,3 1 2
42,22,11,97252,2 1 3
43,22,10,77526,2 1 3
44,27,9,697739,3 1 2
45,22,8,727964,2 1 3
46,27,7,855168,3 1 2
47,27,7,069651,3 2 1
48,17,6,362686,2 3 1
49,17,5,726418,2 3 1
50,17,5,153776,2 3 1
51,17,4,638398,2 3 1
52,17,4,174558,2 3 1
53,21,3,757102,1 3 2
54,17,3,381392,2 3 1
55,17,3,043253,2 3 1
56,21,2,738927,1 3 2
57,21,2,465035,1 3 2
58,26,2,218531,1 2 3
59,22,1,996678,2 1 3
60,17,1,79701,2 3 1
61,22,1,617309,2 1 3
62,17,1,455578,2 3 1
63,17,1,31002,2 3 1
64,17,1,179018,2 3 1
65,17,1,061117,2 3 1
66,17,0,9550049,2 3 1
67,17,0,8595045,2 3 1
68,17,0,773554,2 3 1
69,17,0,6961986,2 3 1
70,17,0,6265788,2 3 1
71,17,0,5639209,2 3 1
72,17,0,5075288,2 3 1
73,17,0,456776,2 3 1
74,17,0,4110984,2 3 1
75,17,0,3699885,2 3 1
76,17,0,3329897,2 3 1
77,17,0,2996907,2 3 1
78,17,0,2697217,2 3 1
79,17,0,2427495,2 3 1
80,17,0,2184746,2 3 1
81,17,0,1966271,2 3 1
82,17,0,1769644,2 3 1
83,17,0,1592679,2 3 1
84,17,0,1433412,2 3 1
85,17,0,129007,2 3 1
86,17,0,1161063,2 3 1
87,17,0,1044957,2 3 1
88,17,0,09404613,2 3 1
89,17,0,08464152,2 3 1
90,17,0,07617737,2 3 1
91,17,0,06855963,2 3 1
92,17,0,06170367,2 3 1
93,17,0,0555333,2 3 1
94,17,0,04997997,2 3 1
95,17,0,04498197,2 3 1
96,17,0,04048377,2 3 1
97,17,0,0364354,2 3 1
98,17,0,03279186,2 3 1
99,17,0,02951267,2 3 1
100,17,0,02656141,2 3 1
101,17,0,02390526,2 3 1
102,17,0,02151474,2 3 1
103,17,0,01936326,2 3 1
104,17,0,01742694,2 3 1
105,17,0,01568424,2 3 1
106,17,0,01411582,2 3 1
107,17,0,01270424,2 3 1
108,17,0,01143381,2 3 1
109,17,0,01029043,2 3 1
110,17,0,009261388,2 3 1
111,17,0,008335249,2 3 1
112,17,0,007501725,2 3 1
113,17,0,006751552,2 3 1
114,17,0,006076397,2 3 1
115,17,0,005468757,2 3 1
116,17,0,004921881,2 3 1
117,17,0,004429693,2 3 1
118,17,0,003986724,2 3 1
119,17,0,003588052,2 3 1
120,17,0,003229246,2 3 1
121,17,0,002906322,2 3 1
122,17,0,00261569,2 3 1
123,17,0,002354121,2 3 1
124,17,0,002118709,2 3 1
125,17,0,001906838,2 3 1
126,17,0,001716154,2 3 1
127,17,0,001544539,2 3 1
128,17,0,001390085,2 3 1
129,17,0,001251076,2 3 1
130,17,0,001125969,2 3 1
131,17,0,001013372,2 3 1
132,17,0,0009120345,2 3 1
133,17,0,000820831,2 3 1
134,17,0,0007387479,2 3 1
135,17,0,0006648732,2 3 1
136,17,0,0005983859,2 3 1
137,17,0,0005385473,2 3 1
138,17,0,0004846926,2 3 1
139,17,0,0004362233,2 3 1
140,17,0,000392601,2 3 1
141,17,0,0003533409,2 3 1
142,17,0,0003180068,2 3 1
143,17,0,0002862061,2 3 1
144,17,0,0002575855,2 3 1
145,17,0,0002318269,2 3 1
146,17,0,0002086442,2 3 1
147,17,0,0001877798,2 3 1
148,17,0,0001690018,2 3 1
149,17,0,0001521017,2 3 1
150,17,0,0001368915,2 3 1
151,17,0,0001232023,2 3 1
152,17,0,0001108821,2 3 1
153,17,9,979389E-05,2 3 1
154,17,8,98145E-05,2 3 1
155,17,8,083305E-05,2 3 1
156,17,7,274975E-05,2 3 1
157,17,6,547477E-05,2 3 1
158,17,5,892729E-05,2 3 1
159,17,5,303456E-05,2 3 1
160,17,4,773111E-05,2 3 1
161,17,4,2958E-05,2 3 1
162,17,3,86622E-05,2 3 1
163,17,3,479598E-05,2 3 1
164,17,3,131638E-05,2 3 1
165,17,2,818474E-05,2 3 1
166,17,2,536627E-05,2 3 1
167,17,2,282964E-05,2 3 1
168,17,2,054668E-05,2 3 1
169,17,1,849201E-05,2 3 1
170,17,1,664281E-05,2 3 1
171,17,1,497853E-05,2 3 1
172,17,1,348068E-05,2 3 1
173,17,1,213261E-05,2 3 1
174,17,1,091935E-05,2 3 1
175,17,9,827412E-06,2 3 1
176,17,8,844671E-06,2 3 1
177,17,7,960204E-06,2 3 1
178,17,7,164184E-06,2 3 1
179,17,6,447765E-06,2 3 1
180,17,5,802989E-06,2 3 1
181,17,5,22269E-06,2 3 1
182,17,4,700421E-06,2 3 1
183,17,4,230379E-06,2 3 1
184,17,3,807341E-06,2 3 1
185,17,3,426607E-06,2 3 1
186,17,3,083946E-06,2 3 1
187,17,2,775551E-06,2 3 1
188,17,2,497996E-06,2 3 1
189,17,2,248197E-06,2 3 1
190,17,2,023377E-06,2 3 1
191,17,1,82104E-06,2 3 1
192,17,1,638936E-06,2 3 1
193,17,1,475042E-06,2 3 1
194,17,1,327538E-06,2 3 1
195,17,1,194784E-06,2 3 1
196,17,1,075306E-06,2 3 1
197,17,9,67775E-07,2 3 1
198,17,8,709975E-07,2 3 1
199,17,7,838977E-07,2 3 1
200,17,7,05508E-07,2 3 1
201,17,6,349572E-07,2 3 1
202,17,5,714614E-07,2 3 1
203,17,5,143153E-07,2 3 1
204,17,4,628837E-07,2 3 1
205,17,4,165954E-07,2 3 1
206,17,3,749358E-07,2 3 1
207,17,3,374423E-07,2 3 1
208,17,3,03698E-07,2 3 1
209,17,2,733282E-07,2 3 1
210,17,2,459954E-07,2 3 1
211,17,2,213959E-07,2 3 1
212,17,1,992563E-07,2 3 1
213,17,1,793307E-07,2 3 1
214,17,1,613976E-07,2 3 1
215,17,1,452578E-07,2 3 1
216,17,1,30732E-07,2 3 1
217,17,1,176588E-07,2 3 1
218,17,1,05893E-07,2 3 1
219,17,9,530366E-08,2 3 1
220,17,8,577329E-08,2 3 1
221,17,7,719596E-08,2 3 1
222,17,6,947636E-08,2 3 1
223,17,6,252873E-08,2 3 1
224,17,5,627586E-08,2 3 1
225,17,5,064827E-08,2 3 1
226,17,4,558344E-08,2 3 1
227,17,4,10251E-08,2 3 1
228,17,3,692259E-08,2 3 1
229,17,3,323033E-08,2 3 1
230,17,2,990729E-08,2 3 1
231,17,2,691656E-08,2 3 1
232,17,2,422491E-08,2 3 1
233,17,2,180242E-08,2 3 1
234,17,1,962218E-08,2 3 1
235,17,1,765996E-08,2 3 1
236,17,1,589396E-08,2 3 1
237,17,1,430457E-08,2 3 1
238,17,1,287411E-08,2 3 1
239,17,1,15867E-08,2 3 1
240,17,1,042803E-08,2 3 1
241,17,9,385227E-09,2 3 1
242,17,8,446704E-09,2 3 1
243,17,7,602034E-09,2 3 1
244,17,6,84183E-09,2 3 1
245,17,6,157647E-09,2 3 1
246,17,5,541883E-09,2 3 1
247,17,4,987694E-09,2 3 1
248,17,4,488925E-09,2 3 1
249,17,4,040032E-09,2 3 1
250,17,3,636029E-09,2 3 1
251,17,3,272426E-09,2 3 1
252,17,2,945183E-09,2 3 1
253,17,2,650665E-09,2 3 1
254,17,2,385599E-09,2 3 1
255,17,2,147039E-09,2 3 1
256,17,1,932335E-09,2 3 1
257,17,1,739101E-09,2 3 1
258,17,1,565191E-09,2 3 1
259,17,1,408672E-09,2 3 1
260,17,1,267805E-09,2 3 1
261,17,1,141024E-09,2 3 1
262,17,1,026922E-09,2 3 1
263,17,9,242299E-10,2 3 1
264,17,8,318069E-10,2 3 1
265,17,7,486262E-10,2 3 1
266,17,6,737636E-10,2 3 1
267,17,6,063872E-10,2 3 1
268,17,5,457485E-10,2 3 1
269,17,4,911737E-10,2 3 1
270,17,4,420563E-10,2 3 1
271,17,3,978506E-10,2 3 1
272,17,3,580656E-10,2 3 1
273,17,3,22259E-10,2 3 1
274,17,2,900331E-10,2 3 1
275,17,2,610298E-10,2 3 1
276,17,2,349268E-10,2 3 1
277,17,2,114341E-10,2 3 1
278,17,1,902907E-10,2 3 1
279,17,1,712617E-10,2 3 1
280,17,1,541355E-10,2 3 1
281,17,1,38722E-10,2 3 1
282,17,1,248498E-10,2 3 1
283,17,1,123648E-10,2 3 1
284,17,1,011283E-10,2 3 1
285,17,9,101547E-11,2 3 1
286,17,8,191393E-11,2 3 1
287,17,7,372254E-11,2 3 1
288,17,6,635028E-11,2 3 1
289,17,5,971525E-11,2 3 1
290,17,5,374373E-11,2 3 1
291,17,4,836936E-11,2 3 1
292,17,4,353242E-11,2 3 1
293,17,3,917918E-11,2 3 1
294,17,3,526126E-11,2 3 1
295,17,3,173513E-11,2 3 1
296,17,2,856162E-11,2 3 1
297,17,2,570546E-11,2 3 1
298,17,2,313491E-11,2 3 1
299,17,2,082142E-11,2 3 1
300,17,1,873928E-11,2 3 1
301,17,1,686535E-11,2 3 1
302,17,1,517881E-11,2 3 1
303,17,1,366093E-11,2 3 1
304,17,1,229484E-11,2 3 1
305,17,1,106536E-11,2 3 1
306,17,9,95882E-12,2 3 1
307,17,8,962938E-12,2 3 1
308,17,8,066645E-12,2 3 1
309,17,7,25998E-12,2 3 1
310,17,6,533982E-12,2 3 1
311,17,5,880584E-12,2 3 1
312,17,5,292526E-12,2 3 1
313,17,4,763273E-12,2 3 1
314,17,4,286946E-12,2 3 1
315,17,3,858251E-12,2 3 1
316,17,3,472426E-12,2 3 1
317,17,3,125184E-12,2 3 1
318,17,2,812665E-12,2 3 1
319,17,2,531399E-12,2 3 1
320,17,2,278259E-12,2 3 1
321,17,2,050433E-12,2 3 1
322,17,1,84539E-12,2 3 1
323,17,1,660851E-12,2 3 1
324,17,1,494766E-12,2 3 1
325,17,1,345289E-12,2 3 1
326,17,1,21076E-12,2 3 1
327,17,1,089684E-12,2 3 1
328,17,9,807158E-13,2 3 1
329,17,8,826443E-13,2 3 1
330,17,7,943799E-13,2 3 1
331,17,7,149419E-13,2 3 1
332,17,6,434477E-13,2 3 1
333,17,5,79103E-13,2 3 1
334,17,5,211927E-13,2 3 1
335,17,4,690734E-13,2 3 1
336,17,4,221661E-13,2 3 1
337,17,3,799495E-13,2 3 1
338,17,3,419545E-13,2 3 1
339,17,3,077591E-13,2 3 1
340,17,2,769832E-13,2 3 1
341,17,2,492849E-13,2 3 1
342,17,2,243564E-13,2 3 1
343,17,2,019207E-13,2 3 1
344,17,1,817287E-13,2 3 1
345,17,1,635558E-13,2 3 1
346,17,1,472002E-13,2 3 1
347,17,1,324802E-13,2 3 1
348,17,1,192322E-13,2 3 1
349,17,1,07309E-13,2 3 1
350,17,9,657805E-14,2 3 1
351,17,8,692024E-14,2 3 1
352,17,7,822822E-14,2 3 1
353,17,7,04054E-14,2 3 1
354,17,6,336486E-14,2 3 1
355,17,5,702838E-14,2 3 1
356,17,5,132554E-14,2 3 1
357,17,4,619298E-14,2 3 1
358,17,4,157368E-14,2 3 1
359,17,3,741632E-14,2 3 1
360,17,3,367468E-14,2 3 1
361,17,3,030721E-14,2 3 1
362,17,2,727649E-14,2 3 1
363,17,2,454884E-14,2 3 1
364,17,2,209396E-14,2 3 1
365,17,1,988456E-14,2 3 1
366,17,1,789611E-14,2 3 1
367,17,1,61065E-14,2 3 1
368,17,1,449585E-14,2 3 1
369,17,1,304626E-14,2 3 1
370,17,1,174164E-14,2 3 1
371,17,1,056747E-14,2 3 1
372,17,9,510725E-15,2 3 1
373,17,8,559652E-15,2 3 1
374,17,7,703688E-15,2 3 1
375,17,6,933319E-15,2 3 1
376,17,6,239987E-15,2 3 1
377,17,5,615988E-15,2 3 1
378,17,5,054389E-15,2 3 1
379,17,4,54895E-15,2 3 1
380,17,4,094055E-15,2 3 1
381,17,3,68465E-15,2 3 1
382,17,3,316185E-15,2 3 1
383,17,2,984566E-15,2 3 1
384,17,2,68611E-15,2 3 1
385,17,2,417499E-15,2 3 1
386,17,2,175749E-15,2 3 1
387,17,1,958174E-15,2 3 1
388,17,1,762357E-15,2 3 1
389,17,1,586121E-15,2 3 1
390,17,1,427509E-15,2 3 1
391,17,1,284758E-15,2 3 1
392,17,1,156282E-15,2 3 1
393,17,1,040654E-15,2 3 1
394,17,9,365886E-16,2 3 1
