Iteration,Cost,Temperature,Sequence
0,17,1000,2 3 1
1,22,990,2 1 3
2,26,980,1 2 3
3,21,970,1 3 2
4,17,960,2 3 1
5,22,950,2 1 3
6,26,940,1 2 3
7,22,930,2 1 3
8,17,920,2 3 1
9,21,910,1 3 2
10,26,900,1 2 3
11,27,890,3 2 1
12,27,880,3 1 2
13,21,870,1 3 2
14,26,860,1 2 3
15,27,850,3 2 1
16,27,840,3 1 2
17,27,830,3 2 1
18,26,820,1 2 3
19,22,810,2 1 3
20,17,800,2 3 1
21,27,790,3 2 1
22,17,780,2 3 1
23,21,770,1 3 2
24,27,760,3 1 2
25,22,750,2 1 3
26,17,740,2 3 1
27,27,730,3 2 1
28,17,720,2 3 1
29,27,710,3 2 1
30,26,700,1 2 3
31,27,690,3 2 1
32,17,680,2 3 1
33,21,670,1 3 2
34,26,660,1 2 3
35,21,650,1 3 2
36,27,640,3 1 2
37,27,630,3 2 1
38,27,620,3 1 2
39,27,610,3 2 1
40,17,600,2 3 1
41,27,590,3 2 1
42,26,580,1 2 3
43,22,570,2 1 3
44,27,560,3 1 2
45,22,550,2 1 3
46,27,540,3 1 2
47,27,530,3 2 1
48,17,520,2 3 1
49,27,510,3 2 1
50,26,500,1 2 3
51,27,490,3 2 1
52,27,480,3 1 2
53,22,470,2 1 3
54,27,460,3 1 2
55,22,450,2 1 3
56,27,440,3 1 2
57,27,430,3 2 1
58,27,420,3 1 2
59,21,410,1 3 2
60,26,400,1 2 3
61,21,390,1 3 2
62,26,380,1 2 3
63,21,370,1 3 2
64,26,360,1 2 3
65,22,350,2 1 3
66,17,340,2 3 1
67,22,330,2 1 3
68,17,320,2 3 1
69,27,310,3 2 1
70,26,300,1 2 3
71,21,290,1 3 2
72,17,280,2 3 1
73,21,270,1 3 2
74,26,260,1 2 3
75,21,250,1 3 2
76,17,240,2 3 1
77,27,230,3 2 1
78,17,220,2 3 1
79,22,210,2 1 3
80,27,200,3 1 2
81,22,190,2 1 3
82,27,180,3 1 2
83,22,170,2 1 3
84,27,160,3 1 2
85,22,150,2 1 3
86,26,140,1 2 3
87,27,130,3 2 1
88,27,120,3 1 2
89,27,110,3 2 1
90,26,100,1 2 3
91,27,90,3 2 1
92,26,80,1 2 3
93,21,70,1 3 2
94,17,60,2 3 1
95,17,50,2 3 1
96,22,40,2 1 3
97,27,30,3 1 2
98,22,20,2 1 3
99,26,10,1 2 3
100,27,0,3 2 1
