Iteration,Cost,Temperature,Sequence
0,17,1000,2 3 1
1,22,900,2 1 3
1,26,810,1 2 3
1,21,729,1 3 2
1,17,656,1,2 3 1
1,22,590,49,2 1 3
1,26,531,441,1 2 3
1,22,478,2969,2 1 3
1,17,430,4672,2 3 1
1,21,387,4205,1 3 2
1,26,348,6784,1 2 3
1,27,313,8106,3 2 1
1,27,282,4295,3 1 2
1,21,254,1866,1 3 2
1,26,228,7679,1 2 3
1,27,205,8911,3 2 1
1,27,185,302,3 1 2
1,27,166,7718,3 2 1
1,26,150,0947,1 2 3
1,22,135,0852,2 1 3
1,17,121,5767,2 3 1
1,27,109,419,3 2 1
1,17,98,4771,2 3 1
1,21,88,62939,1 3 2
1,27,79,76645,3 1 2
1,22,71,7898,2 1 3
1,17,64,61082,2 3 1
1,27,58,14974,3 2 1
1,17,52,33477,2 3 1
1,27,47,10129,3 2 1
1,26,42,39116,1 2 3
1,27,38,15204,3 2 1
1,17,34,33684,2 3 1
1,21,30,90315,1 3 2
1,26,27,81284,1 2 3
1,21,25,03156,1 3 2
1,27,22,5284,3 1 2
1,27,20,27556,3 2 1
1,27,18,248,3 1 2
1,27,16,4232,3 2 1
1,17,14,78088,2 3 1
1,17,13,3028,2 3 1
1,21,11,97252,1 3 2
1,27,10,77526,3 1 2
1,22,9,697739,2 1 3
1,27,8,727964,3 1 2
1,22,7,855168,2 1 3
1,17,7,069651,2 3 1
1,17,6,362686,2 3 1
1,17,5,726418,2 3 1
1,21,5,153776,1 3 2
1,17,4,638398,2 3 1
1,17,4,174558,2 3 1
1,17,3,757102,2 3 1
1,17,3,381392,2 3 1
1,17,3,043253,2 3 1
1,21,2,738927,1 3 2
1,21,2,465035,1 3 2
1,21,2,218531,1 3 2
1,21,1,996678,1 3 2
1,21,1,79701,1 3 2
1,21,1,617309,1 3 2
1,21,1,455578,1 3 2
1,21,1,31002,1 3 2
1,21,1,179018,1 3 2
1,21,1,061117,1 3 2
1,21,0,9550049,1 3 2
1,21,0,8595045,1 3 2
1,21,0,773554,1 3 2
1,21,0,6961986,1 3 2
1,17,0,6265788,2 3 1
1,17,0,5639209,2 3 1
1,17,0,5075288,2 3 1
1,17,0,456776,2 3 1
1,17,0,4110984,2 3 1
1,17,0,3699885,2 3 1
