Iteration,Cost,Sequence
0,529,21 15 7 5 14 2 17 6 4 3 16 23 18 13 22 11 12 20 8 1 19 9 10 24
1,521,21 15 7 5 14 2 17 6 4 3 16 23 18 22 13 11 12 20 8 1 19 9 10 24
2,521,21 15 7 5 14 2 17 6 4 3 16 23 18 22 13 11 12 20 8 1 19 9 10 24
3,521,21 15 7 5 14 2 17 6 4 3 16 23 18 22 13 11 12 20 8 1 19 9 10 24
4,521,21 15 7 5 14 2 17 6 4 3 9 23 18 22 13 11 12 20 8 1 19 16 10 24
5,505,21 15 7 5 14 2 17 6 4 3 9 23 18 22 13 11 12 20 8 1 10 16 19 24
6,501,21 15 7 9 14 2 17 6 4 3 5 23 18 22 13 11 12 20 8 1 10 16 19 24
7,496,21 24 7 9 14 2 17 6 4 3 5 23 18 22 13 11 12 20 8 1 10 16 19 15
8,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
9,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
10,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
11,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
12,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
13,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
14,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
15,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
16,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
17,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
18,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
19,484,21 24 7 9 14 2 17 6 4 3 5 23 18 22 11 13 12 20 8 1 10 16 19 15
20,484,21 24 7 9 14 2 20 6 4 3 5 23 18 22 11 13 12 17 8 1 10 16 19 15
21,484,21 24 7 9 14 2 20 6 4 3 5 23 18 22 11 13 12 17 8 1 10 16 19 15
22,484,21 24 7 9 14 2 20 6 4 3 5 23 18 22 11 13 12 17 8 1 10 16 19 15
23,484,21 24 7 9 14 2 20 6 4 3 5 23 18 22 11 13 12 17 8 1 10 16 19 15
24,484,21 24 7 9 14 2 20 6 4 3 5 23 18 22 11 13 12 17 8 1 10 16 19 15
25,478,21 24 7 9 14 2 6 20 4 3 5 23 18 22 11 13 12 17 8 1 10 16 19 15
26,474,21 24 7 9 14 2 6 20 4 3 5 23 19 22 11 13 12 17 8 1 10 16 18 15
27,474,21 24 7 9 14 2 6 20 4 3 5 23 19 22 11 13 12 17 8 1 10 16 18 15
28,448,21 24 7 9 14 2 4 20 6 3 5 23 19 22 11 13 12 17 8 1 10 16 18 15
29,448,21 24 7 9 14 2 4 20 6 3 5 23 19 22 11 13 12 17 8 1 10 16 18 15
30,448,21 24 7 9 14 2 10 20 6 3 5 23 19 22 11 13 12 17 8 1 4 16 18 15
31,438,21 24 14 9 7 2 10 20 6 3 5 23 19 22 11 13 12 17 8 1 4 16 18 15
32,438,21 24 14 9 7 2 10 20 6 3 5 23 19 22 11 13 12 17 8 1 4 16 18 15
33,430,21 24 14 9 7 2 10 20 6 3 8 23 19 22 11 13 12 17 5 1 4 16 18 15
34,430,21 24 14 9 7 2 10 20 6 3 8 23 19 22 11 13 12 17 5 1 4 16 18 15
35,430,21 24 14 9 7 2 10 20 6 3 8 23 19 22 11 13 12 17 5 1 4 16 18 15
36,430,21 24 14 9 7 2 10 20 8 3 6 23 19 22 11 13 12 17 5 1 4 16 18 15
37,430,21 24 14 9 7 2 10 20 8 3 6 23 19 22 11 13 12 17 5 1 4 16 18 15
38,430,21 24 14 9 7 2 10 20 8 3 6 23 19 22 11 13 12 17 5 1 4 16 18 15
39,430,21 24 14 9 7 2 10 20 8 3 6 23 19 22 11 13 12 17 5 1 4 16 18 15
40,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
41,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
42,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
43,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
44,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
45,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
46,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
47,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
48,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
49,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
50,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
51,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
52,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
53,424,21 24 14 9 7 2 10 11 8 3 6 23 19 22 20 13 12 17 5 1 4 16 18 15
54,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
55,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
56,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
57,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
58,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
59,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
60,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
61,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
62,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
63,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
64,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
65,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
66,406,21 24 14 9 7 5 10 11 8 3 6 23 19 22 20 13 12 17 2 1 4 16 18 15
67,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
68,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
69,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
70,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
71,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
72,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
73,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
74,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
75,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
76,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
77,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
78,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
79,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
80,402,21 24 12 9 7 5 10 11 8 3 6 23 19 22 20 13 14 17 2 1 4 16 18 15
81,400,21 24 12 9 7 5 10 11 8 3 6 22 19 23 20 13 14 17 2 1 4 16 18 15
82,400,21 24 12 9 7 5 10 11 8 3 6 22 19 23 20 13 14 17 2 1 4 16 18 15
83,400,21 24 12 9 7 5 10 11 8 3 6 22 19 23 20 13 14 17 2 1 4 16 18 15
84,400,21 24 12 9 7 5 10 11 8 3 6 22 19 23 20 13 14 17 2 1 4 16 18 15
85,400,21 24 12 9 7 5 10 11 8 3 6 22 19 23 20 13 14 17 2 1 4 16 18 15
