Iteration,Cost,Temperature,Sequence
0,17,5000,2 3 1
1,22,4000,2 1 3
2,26,3200,1 2 3
3,21,2560,1 3 2
4,17,2048,2 3 1
5,22,1638,4,2 1 3
6,26,1310,72,1 2 3
7,22,1048,576,2 1 3
8,17,838,8607,2 3 1
9,21,671,0886,1 3 2
10,26,536,8708,1 2 3
11,27,429,4967,3 2 1
12,27,343,5974,3 1 2
13,21,274,8779,1 3 2
14,26,219,9023,1 2 3
15,27,175,9218,3 2 1
16,27,140,7375,3 1 2
17,27,112,59,3 2 1
18,26,90,07198,1 2 3
19,22,72,05759,2 1 3
20,17,57,64607,2 3 1
21,27,46,11686,3 2 1
22,17,36,89349,2 3 1
23,21,29,51479,1 3 2
24,27,23,61183,3 1 2
25,22,18,88947,2 1 3
26,17,15,11157,2 3 1
27,27,12,08926,3 2 1
28,17,9,671407,2 3 1
29,17,7,737125,2 3 1
30,21,6,1897,1 3 2
31,17,4,95176,2 3 1
32,17,3,961408,2 3 1
33,21,3,169127,1 3 2
34,26,2,535301,1 2 3
35,21,2,028241,1 3 2
36,21,1,622593,1 3 2
37,21,1,298074,1 3 2
38,21,1,038459,1 3 2
39,21,0,8307675,1 3 2
40,21,0,664614,1 3 2
41,21,0,5316912,1 3 2
42,17,0,425353,2 3 1
43,17,0,3402824,2 3 1
44,17,0,2722259,2 3 1
45,17,0,2177807,2 3 1
46,17,0,1742246,2 3 1
47,17,0,1393797,2 3 1
48,17,0,1115037,2 3 1
49,17,0,08920299,2 3 1
50,17,0,07136239,2 3 1
51,17,0,05708991,2 3 1
52,17,0,04567193,2 3 1
53,17,0,03653755,2 3 1
54,17,0,02923004,2 3 1
55,17,0,02338403,2 3 1
56,17,0,01870723,2 3 1
57,17,0,01496578,2 3 1
58,17,0,01197262,2 3 1
59,17,0,009578099,2 3 1
60,17,0,00766248,2 3 1
61,17,0,006129984,2 3 1
62,17,0,004903987,2 3 1
63,17,0,00392319,2 3 1
64,17,0,003138552,2 3 1
65,17,0,002510841,2 3 1
66,17,0,002008673,2 3 1
67,17,0,001606939,2 3 1
68,17,0,001285551,2 3 1
69,17,0,001028441,2 3 1
70,17,0,0008227525,2 3 1
71,17,0,000658202,2 3 1
72,17,0,0005265616,2 3 1
73,17,0,0004212493,2 3 1
74,17,0,0003369995,2 3 1
75,17,0,0002695995,2 3 1
76,17,0,0002156796,2 3 1
77,17,0,0001725437,2 3 1
78,17,0,000138035,2 3 1
79,17,0,000110428,2 3 1
80,17,8,834239E-05,2 3 1
81,17,7,067391E-05,2 3 1
82,17,5,653913E-05,2 3 1
83,17,4,52313E-05,2 3 1
84,17,3,618504E-05,2 3 1
85,17,2,894803E-05,2 3 1
86,17,2,315843E-05,2 3 1
87,17,1,852674E-05,2 3 1
88,17,1,482139E-05,2 3 1
89,17,1,185711E-05,2 3 1
90,17,9,485691E-06,2 3 1
91,17,7,588553E-06,2 3 1
92,17,6,070843E-06,2 3 1
93,17,4,856674E-06,2 3 1
94,17,3,885339E-06,2 3 1
95,17,3,108271E-06,2 3 1
96,17,2,486617E-06,2 3 1
97,17,1,989294E-06,2 3 1
98,17,1,591435E-06,2 3 1
99,17,1,273148E-06,2 3 1
100,17,1,018518E-06,2 3 1
101,17,0,2 3 1
