Iteration,Cost,Temperature,Sequence
0,205,5000,1 4 2 7 10 14 16 12 3 8 13 9 15 17 11 5 6
1,221,4950,1 4 2 7 10 5 16 12 3 8 13 9 15 17 11 14 6
2,213,4900,5,1 4 2 7 10 3 16 12 5 8 13 9 15 17 11 14 6
3,247,4851,495,12 4 2 7 10 3 16 1 5 8 13 9 15 17 11 14 6
4,219,4802,98,12 4 2 7 10 3 16 1 5 14 13 9 15 17 11 8 6
5,241,4754,95,12 8 2 7 10 3 16 1 5 14 13 9 15 17 11 4 6
6,233,4707,401,11 8 2 7 10 3 16 1 5 14 13 9 15 17 12 4 6
7,205,4660,327,11 8 7 2 10 3 16 1 5 14 13 9 15 17 12 4 6
8,219,4613,724,14 8 7 2 10 3 16 1 5 11 13 9 15 17 12 4 6
9,229,4567,586,14 8 7 2 10 3 16 1 5 15 13 9 11 17 12 4 6
10,225,4521,911,14 8 7 2 10 3 12 1 5 15 13 9 11 17 16 4 6
11,225,4476,691,14 8 7 2 10 3 12 1 5 15 13 4 11 17 16 9 6
12,185,4431,924,14 8 7 2 10 3 12 1 17 15 13 4 11 5 16 9 6
13,213,4387,605,14 8 7 2 9 3 12 1 17 15 13 4 11 5 16 10 6
14,255,4343,729,14 17 7 2 9 3 12 1 8 15 13 4 11 5 16 10 6
15,247,4300,292,14 17 7 2 9 3 12 1 8 15 13 16 11 5 4 10 6
16,217,4257,289,14 17 7 2 9 3 12 8 1 15 13 16 11 5 4 10 6
17,213,4214,716,14 17 7 4 9 3 12 8 1 15 13 16 11 5 2 10 6
18,211,4172,569,14 17 7 4 9 2 12 8 1 15 13 16 11 5 3 10 6
19,227,4130,843,14 17 7 4 9 2 12 8 1 13 15 16 11 5 3 10 6
20,225,4089,535,14 17 7 4 9 2 12 8 1 13 15 16 11 5 3 6 10
21,197,4048,64,14 17 15 4 9 2 12 8 1 13 7 16 11 5 3 6 10
22,207,4008,153,14 17 15 4 9 2 12 3 1 13 7 16 11 5 8 6 10
23,193,3968,072,14 17 15 4 9 2 12 3 1 13 7 16 6 5 8 11 10
24,191,3928,391,14 17 15 4 7 2 12 3 1 13 9 16 6 5 8 11 10
25,183,3889,107,14 17 15 4 7 3 12 2 1 13 9 16 6 5 8 11 10
26,171,3850,216,15 17 14 4 7 3 12 2 1 13 9 16 6 5 8 11 10
27,177,3811,714,2 17 14 4 7 3 12 15 1 13 9 16 6 5 8 11 10
28,183,3773,597,2 17 14 4 8 3 12 15 1 13 9 16 6 5 7 11 10
29,181,3735,861,2 17 14 4 8 3 12 10 1 13 9 16 6 5 7 11 15
30,191,3698,502,2 4 14 17 8 3 12 10 1 13 9 16 6 5 7 11 15
31,199,3661,517,2 4 14 17 8 3 12 10 1 13 11 16 6 5 7 9 15
32,185,3624,902,2 4 14 17 5 3 12 10 1 13 11 16 6 8 7 9 15
33,177,3588,653,2 4 14 17 5 3 12 10 1 13 11 9 6 8 7 16 15
34,173,3552,766,2 4 14 17 5 9 12 10 1 13 11 3 6 8 7 16 15
35,176,3517,239,2 4 14 17 5 9 12 10 15 13 11 3 6 8 7 16 1
36,208,3482,066,2 4 14 17 5 9 12 10 7 13 11 3 6 8 15 16 1
37,214,3447,246,2 4 14 17 5 9 10 12 7 13 11 3 6 8 15 16 1
38,204,3412,773,2 4 14 17 5 9 10 12 8 13 11 3 6 7 15 16 1
39,212,3378,646,2 9 14 17 5 4 10 12 8 13 11 3 6 7 15 16 1
40,200,3344,859,2 9 14 17 5 4 10 12 8 16 11 3 6 7 15 13 1
41,210,3311,411,2 9 14 17 12 4 10 5 8 16 11 3 6 7 15 13 1
42,212,3278,297,2 9 1 17 12 4 10 5 8 16 11 3 6 7 15 13 14
43,196,3245,514,2 9 1 17 16 4 10 5 8 12 11 3 6 7 15 13 14
44,196,3213,059,17 9 1 2 16 4 10 5 8 12 11 3 6 7 15 13 14
45,204,3180,928,17 9 1 2 16 4 10 5 6 12 11 3 8 7 15 13 14
46,218,3149,119,17 9 1 2 16 4 10 5 6 15 11 3 8 7 12 13 14
47,196,3117,627,17 9 1 2 16 4 10 5 6 15 11 12 8 7 3 13 14
48,188,3086,451,17 9 1 2 16 4 6 5 10 15 11 12 8 7 3 13 14
49,194,3055,587,17 9 1 2 16 4 6 15 10 5 11 12 8 7 3 13 14
50,222,3025,031,17 9 8 2 16 4 6 15 10 5 11 12 1 7 3 13 14
51,222,2994,781,17 7 8 2 16 4 6 15 10 5 11 12 1 9 3 13 14
52,224,2964,833,17 3 8 2 16 4 6 15 10 5 11 12 1 9 7 13 14
53,244,2935,184,17 3 8 2 16 4 6 11 10 5 15 12 1 9 7 13 14
54,218,2905,833,17 3 8 2 15 4 6 11 10 5 16 12 1 9 7 13 14
55,212,2876,774,17 3 8 2 15 4 6 11 10 5 16 12 7 9 1 13 14
56,186,2848,006,17 11 8 2 15 4 6 3 10 5 16 12 7 9 1 13 14
57,212,2819,526,17 3 8 2 15 4 6 11 10 5 16 12 7 9 1 13 14
58,204,2791,331,17 3 5 2 15 4 6 11 10 8 16 12 7 9 1 13 14
59,212,2763,418,17 3 5 2 15 4 6 13 10 8 16 12 7 9 1 11 14
60,226,2735,783,17 3 2 5 15 4 6 13 10 8 16 12 7 9 1 11 14
61,224,2708,426,17 3 1 5 15 4 6 13 10 8 16 12 7 9 2 11 14
62,190,2681,341,17 3 1 5 15 4 6 13 11 8 16 12 7 9 2 10 14
63,206,2654,528,17 3 1 5 15 4 6 13 2 8 16 12 7 9 11 10 14
64,228,2627,983,17 16 1 5 15 4 6 13 2 8 3 12 7 9 11 10 14
65,216,2601,703,17 16 1 5 15 4 6 13 2 8 12 3 7 9 11 10 14
66,206,2575,686,17 16 1 5 15 2 6 13 4 8 12 3 7 9 11 10 14
67,216,2549,929,17 16 1 5 15 11 6 13 4 8 12 3 7 9 2 10 14
68,212,2524,43,17 16 13 5 15 11 6 1 4 8 12 3 7 9 2 10 14
69,182,2499,185,17 16 13 5 15 3 6 1 4 8 12 11 7 9 2 10 14
70,211,2474,193,17 16 13 5 15 3 6 1 4 8 12 14 7 9 2 10 11
71,219,2449,451,17 11 13 5 15 3 6 1 4 8 12 14 7 9 2 10 16
72,211,2424,957,17 16 13 5 15 3 6 1 4 8 12 14 7 9 2 10 11
73,209,2400,707,17 16 9 5 15 3 6 1 4 8 12 14 7 13 2 10 11
74,213,2376,7,17 16 9 5 15 3 6 1 4 8 12 2 7 13 14 10 11
75,200,2352,933,17 16 9 5 15 3 6 1 11 8 12 2 7 13 14 10 4
76,202,2329,404,17 16 9 5 15 7 6 1 11 8 12 2 3 13 14 10 4
77,228,2306,11,17 16 9 5 15 7 6 1 11 2 12 8 3 13 14 10 4
78,238,2283,049,17 16 9 5 15 7 6 1 11 2 12 3 8 13 14 10 4
79,244,2260,218,17 16 6 5 15 7 9 1 11 2 12 3 8 13 14 10 4
80,204,2237,616,17 16 6 5 15 7 9 1 11 8 12 3 2 13 14 10 4
81,200,2215,24,17 16 6 5 15 7 9 3 11 8 12 1 2 13 14 10 4
82,214,2193,087,17 16 6 5 15 7 9 3 11 8 14 1 2 13 12 10 4
83,222,2171,156,17 16 6 5 15 7 9 3 11 10 14 1 2 13 12 8 4
84,218,2149,445,17 16 6 5 15 7 13 3 11 10 14 1 2 9 12 8 4
85,216,2127,95,17 16 6 5 15 7 13 2 11 10 14 1 3 9 12 8 4
86,210,2106,671,17 16 6 5 15 7 13 10 11 2 14 1 3 9 12 8 4
