Iteration,Cost,Temperature,Sequence
0,17,5000,2 3 1
1,22,1,9992,2 1 3
2,26,0,9998,1 2 3
3,21,0,6665778,1 3 2
4,17,0,49995,2 3 1
5,17,0,399968,2 3 1
6,17,0,3333111,2 3 1
7,17,0,285698,2 3 1
8,17,0,2499875,2 3 1
9,17,0,2222124,2 3 1
10,17,0,199992,2 3 1
11,17,0,1818116,2 3 1
12,17,0,1666611,2 3 1
13,17,0,1538414,2 3 1
14,17,0,1428531,2 3 1
15,17,0,1333298,2 3 1
16,17,0,1249969,2 3 1
17,17,0,1176443,2 3 1
18,17,0,1111086,2 3 1
19,17,0,1052609,2 3 1
20,17,0,099998,2 3 1
21,17,0,09523628,2 3 1
22,17,0,09090743,2 3 1
23,17,0,086955,2 3 1
24,17,0,08333194,2 3 1
25,17,0,07999871,2 3 1
26,17,0,07692188,2 3 1
27,17,0,07407296,2 3 1
28,17,0,07142754,2 3 1
29,17,0,06896456,2 3 1
30,17,0,06666577,2 3 1
31,17,0,06451529,2 3 1
32,17,0,06249922,2 3 1
33,17,0,06060532,2 3 1
34,17,0,05882284,2 3 1
35,17,0,0571422,2 3 1
36,17,0,05555493,2 3 1
37,17,0,05405347,2 3 1
38,17,0,05263102,2 3 1
39,17,0,05128152,2 3 1
40,17,0,04999949,2 3 1
41,17,0,04878001,2 3 1
42,17,0,04761859,2 3 1
43,17,0,04651119,2 3 1
44,17,0,04545413,2 3 1
45,17,0,04444405,2 3 1
46,17,0,04347788,2 3 1
47,17,0,04255283,2 3 1
48,17,0,04166632,2 3 1
49,17,0,040816,2 3 1
50,17,0,03999968,2 3 1
51,17,0,03921538,2 3 1
52,17,0,03846125,2 3 1
53,17,0,03773557,2 3 1
54,17,0,03703677,2 3 1
55,17,0,03636337,2 3 1
56,17,0,03571403,2 3 1
57,17,0,03508748,2 3 1
58,17,0,03448253,2 3 1
59,17,0,03389808,2 3 1
60,17,0,03333312,2 3 1
61,17,0,03278668,2 3 1
62,17,0,03225786,2 3 1
63,17,0,03174584,2 3 1
64,17,0,03124981,2 3 1
65,17,0,03076905,2 3 1
66,17,0,03030285,2 3 1
67,17,0,02985057,2 3 1
68,17,0,0294116,2 3 1
69,17,0,02898535,2 3 1
70,17,0,02857127,2 3 1
71,17,0,02816886,2 3 1
72,17,0,02777763,2 3 1
73,17,0,02739711,2 3 1
74,17,0,02702689,2 3 1
75,17,0,02666653,2 3 1
76,17,0,02631566,2 3 1
77,17,0,0259739,2 3 1
78,17,0,0256409,2 3 1
79,17,0,02531633,2 3 1
80,17,0,02499988,2 3 1
81,17,0,02469124,2 3 1
82,17,0,02439013,2 3 1
83,17,0,02409627,2 3 1
84,17,0,02380942,2 3 1
85,17,0,02352931,2 3 1
86,17,0,02325571,2 3 1
87,17,0,02298841,2 3 1
88,17,0,02272717,2 3 1
89,17,0,02247182,2 3 1
90,17,0,02222213,2 3 1
91,17,0,02197793,2 3 1
92,17,0,02173904,2 3 1
93,17,0,02150529,2 3 1
94,17,0,02127651,2 3 1
95,17,0,02105255,2 3 1
96,17,0,02083325,2 3 1
97,17,0,02061848,2 3 1
98,17,0,02040809,2 3 1
99,17,0,02020195,2 3 1
100,17,0,01999993,2 3 1
101,17,0,01980191,2 3 1
102,17,0,01960777,2 3 1
103,17,0,01941741,2 3 1
104,17,0,0192307,2 3 1
105,17,0,01904755,2 3 1
106,17,0,01886786,2 3 1
107,17,0,01869153,2 3 1
108,17,0,01851846,2 3 1
109,17,0,01834856,2 3 1
110,17,0,01818176,2 3 1
111,17,0,01801796,2 3 1
112,17,0,01785708,2 3 1
113,17,0,01769906,2 3 1
114,17,0,0175438,2 3 1
115,17,0,01739125,2 3 1
116,17,0,01724132,2 3 1
117,17,0,01709396,2 3 1
118,17,0,0169491,2 3 1
119,17,0,01680667,2 3 1
120,17,0,01666661,2 3 1
121,17,0,01652887,2 3 1
122,17,0,01639339,2 3 1
123,17,0,01626011,2 3 1
124,17,0,01612898,2 3 1
125,17,0,01599995,2 3 1
126,17,0,01587296,2 3 1
127,17,0,01574798,2 3 1
128,17,0,01562495,2 3 1
129,17,0,01550383,2 3 1
130,17,0,01538457,2 3 1
131,17,0,01526713,2 3 1
132,17,0,01515147,2 3 1
133,17,0,01503755,2 3 1
134,17,0,01492533,2 3 1
135,17,0,01481477,2 3 1
136,17,0,01470584,2 3 1
137,17,0,0145985,2 3 1
138,17,0,01449271,2 3 1
139,17,0,01438845,2 3 1
140,17,0,01428567,2 3 1
141,17,0,01418435,2 3 1
142,17,0,01408446,2 3 1
143,17,0,01398597,2 3 1
144,17,0,01388885,2 3 1
145,17,0,01379306,2 3 1
146,17,0,01369859,2 3 1
147,17,0,0136054,2 3 1
148,17,0,01351347,2 3 1
149,17,0,01342278,2 3 1
150,17,0,01333329,2 3 1
151,17,0,01324499,2 3 1
152,17,0,01315786,2 3 1
153,17,0,01307186,2 3 1
154,17,0,01298698,2 3 1
155,17,0,01290319,2 3 1
