Iteration,Cost,Temperature,Sequence
0,17,10000,2 3 1
1,22,9500,2 1 3
2,26,9025,1 2 3
3,21,8573,75,1 3 2
4,17,8145,063,2 3 1
5,22,7737,809,2 1 3
6,26,7350,918,1 2 3
7,22,6983,373,2 1 3
8,17,6634,204,2 3 1
9,21,6302,493,1 3 2
10,26,5987,369,1 2 3
11,27,5688,3 2 1
12,27,5403,6,3 1 2
13,21,5133,42,1 3 2
14,26,4876,749,1 2 3
15,27,4632,912,3 2 1
16,27,4401,266,3 1 2
17,27,4181,202,3 2 1
18,26,3972,142,1 2 3
19,22,3773,535,2 1 3
20,17,3584,858,2 3 1
21,27,3405,615,3 2 1
22,17,3235,334,2 3 1
23,21,3073,568,1 3 2
24,27,2919,889,3 1 2
25,22,2773,895,2 1 3
26,17,2635,2,2 3 1
27,27,2503,44,3 2 1
28,17,2378,268,2 3 1
29,27,2259,354,3 2 1
30,26,2146,387,1 2 3
31,27,2039,068,3 2 1
32,17,1937,114,2 3 1
33,21,1840,258,1 3 2
34,26,1748,245,1 2 3
35,21,1660,833,1 3 2
36,27,1577,791,3 1 2
37,27,1498,902,3 2 1
38,27,1423,957,3 1 2
39,27,1352,759,3 2 1
40,17,1285,121,2 3 1
41,27,1220,865,3 2 1
42,26,1159,822,1 2 3
43,22,1101,831,2 1 3
44,27,1046,739,3 1 2
45,22,994,402,2 1 3
46,27,944,6819,3 1 2
47,27,897,4478,3 2 1
48,17,852,5754,2 3 1
49,27,809,9466,3 2 1
50,26,769,4492,1 2 3
51,27,730,9767,3 2 1
52,27,694,4279,3 1 2
53,22,659,7065,2 1 3
54,27,626,7213,3 1 2
55,22,595,3851,2 1 3
56,27,565,6159,3 1 2
57,27,537,3351,3 2 1
58,27,510,4683,3 1 2
59,21,484,9449,1 3 2
60,26,460,6976,1 2 3
61,21,437,6628,1 3 2
62,26,415,7796,1 2 3
63,21,394,9906,1 3 2
64,26,375,2411,1 2 3
65,22,356,479,2 1 3
66,17,338,6551,2 3 1
67,22,321,7223,2 1 3
68,17,305,6362,2 3 1
69,27,290,3544,3 2 1
70,26,275,8367,1 2 3
71,21,262,0448,1 3 2
72,17,248,9426,2 3 1
73,21,236,4955,1 3 2
74,26,224,6707,1 2 3
75,21,213,4371,1 3 2
76,17,202,7653,2 3 1
77,27,192,627,3 2 1
78,17,182,9957,2 3 1
79,22,173,8459,2 1 3
80,27,165,1536,3 1 2
81,22,156,8959,2 1 3
82,27,149,0511,3 1 2
83,22,141,5985,2 1 3
84,27,134,5186,3 1 2
85,22,127,7927,2 1 3
86,26,121,403,1 2 3
87,27,115,3329,3 2 1
88,27,109,5662,3 1 2
89,27,104,0879,3 2 1
90,26,98,88354,1 2 3
91,27,93,93936,3 2 1
92,26,89,24239,1 2 3
93,21,84,78027,1 3 2
94,17,80,54125,2 3 1
95,27,76,51419,3 2 1
96,27,72,68848,3 1 2
97,22,69,05405,2 1 3
98,27,65,60135,3 1 2
99,21,62,32129,1 3 2
100,17,59,20522,2 3 1
101,22,56,24495,2 1 3
102,27,53,43271,3 1 2
103,21,50,76107,1 3 2
104,26,48,22302,1 2 3
105,22,45,81186,2 1 3
106,26,43,52127,1 2 3
107,22,41,34521,2 1 3
108,27,39,27795,3 1 2
109,27,37,31405,3 2 1
110,17,35,44835,2 3 1
111,17,33,67593,2 3 1
112,17,31,99213,2 3 1
113,17,30,39252,2 3 1
114,21,28,8729,1 3 2
115,17,27,42925,2 3 1
116,22,26,05779,2 1 3
117,27,24,7549,3 1 2
118,21,23,51715,1 3 2
119,17,22,3413,2 3 1
120,27,21,22423,3 2 1
121,17,20,16302,2 3 1
122,27,19,15487,3 2 1
123,26,18,19712,1 2 3
124,27,17,28727,3 2 1
125,27,16,4229,3 1 2
126,22,15,60176,2 1 3
127,26,14,82167,1 2 3
128,27,14,08059,3 2 1
129,27,13,37656,3 1 2
130,22,12,70773,2 1 3
131,22,12,07234,2 1 3
132,22,11,46873,2 1 3
133,27,10,89529,3 1 2
134,27,10,35052,3 2 1
135,17,9,832999,2 3 1
136,22,9,341349,2 1 3
137,27,8,874281,3 1 2
138,22,8,430567,2 1 3
139,22,8,009038,2 1 3
140,22,7,608586,2 1 3
141,22,7,228157,2 1 3
142,26,6,866749,1 2 3
143,27,6,523412,3 2 1
144,26,6,197241,1 2 3
145,21,5,887379,1 3 2
146,17,5,59301,2 3 1
147,17,5,313359,2 3 1
148,21,5,047691,1 3 2
149,17,4,795307,2 3 1
150,17,4,555541,2 3 1
151,17,4,327764,2 3 1
152,17,4,111376,2 3 1
153,17,3,905807,2 3 1
154,17,3,710517,2 3 1
155,17,3,524991,2 3 1
156,17,3,348741,2 3 1
157,17,3,181304,2 3 1
158,17,3,022239,2 3 1
159,17,2,871127,2 3 1
160,17,2,727571,2 3 1
161,17,2,591192,2 3 1
162,17,2,461632,2 3 1
163,21,2,338551,1 3 2
164,21,2,221623,1 3 2
165,21,2,110542,1 3 2
166,21,2,005015,1 3 2
167,21,1,904764,1 3 2
168,21,1,809526,1 3 2
169,17,1,719049,2 3 1
170,17,1,633097,2 3 1
171,17,1,551442,2 3 1
172,17,1,47387,2 3 1
173,17,1,400176,2 3 1
174,17,1,330168,2 3 1
175,17,1,263659,2 3 1
176,17,1,200476,2 3 1
177,17,1,140452,2 3 1
178,17,1,08343,2 3 1
179,17,1,029258,2 3 1
180,17,0,9777954,2 3 1
181,17,0,9289055,2 3 1
182,17,0,8824603,2 3 1
183,17,0,8383373,2 3 1
184,17,0,7964203,2 3 1
185,17,0,7565993,2 3 1
186,17,0,7187694,2 3 1
187,17,0,6828309,2 3 1
188,17,0,6486894,2 3 1
189,17,0,6162549,2 3 1
190,17,0,5854421,2 3 1
191,17,0,55617,2 3 1
192,17,0,5283615,2 3 1
193,17,0,5019434,2 3 1
194,17,0,4768462,2 3 1
195,17,0,4530039,2 3 1
196,17,0,4303537,2 3 1
197,17,0,408836,2 3 1
198,17,0,3883942,2 3 1
199,17,0,3689745,2 3 1
200,17,0,3505258,2 3 1
201,17,0,3329995,2 3 1
202,17,0,3163495,2 3 1
203,17,0,300532,2 3 1
204,17,0,2855054,2 3 1
205,17,0,2712302,2 3 1
206,17,0,2576686,2 3 1
207,17,0,2447852,2 3 1
208,17,0,2325459,2 3 1
209,17,0,2209186,2 3 1
210,17,0,2098727,2 3 1
211,17,0,1993791,2 3 1
212,17,0,1894101,2 3 1
213,17,0,1799396,2 3 1
214,17,0,1709426,2 3 1
215,17,0,1623955,2 3 1
216,17,0,1542757,2 3 1
217,17,0,1465619,2 3 1
218,17,0,1392338,2 3 1
219,17,0,1322721,2 3 1
220,17,0,1256585,2 3 1
221,17,0,1193756,2 3 1
222,17,0,1134068,2 3 1
223,17,0,1077365,2 3 1
224,17,0,1023496,2 3 1
225,17,0,09723217,2 3 1
226,17,0,09237055,2 3 1
227,17,0,08775203,2 3 1
228,17,0,08336443,2 3 1
229,17,0,07919621,2 3 1
230,17,0,0752364,2 3 1
231,17,0,07147457,2 3 1
232,17,0,06790084,2 3 1
233,17,0,0645058,2 3 1
234,17,0,06128051,2 3 1
235,17,0,05821648,2 3 1
236,17,0,05530566,2 3 1
237,17,0,05254037,2 3 1
238,17,0,04991335,2 3 1
239,17,0,04741769,2 3 1
240,17,0,0450468,2 3 1
241,17,0,04279446,2 3 1
242,17,0,04065474,2 3 1
243,17,0,038622,2 3 1
244,17,0,0366909,2 3 1
245,17,0,03485636,2 3 1
246,17,0,03311354,2 3 1
247,17,0,03145786,2 3 1
248,17,0,02988497,2 3 1
249,17,0,02839072,2 3 1
250,17,0,02697118,2 3 1
251,17,0,02562262,2 3 1
252,17,0,02434149,2 3 1
253,17,0,02312441,2 3 1
254,17,0,02196819,2 3 1
255,17,0,02086978,2 3 1
256,17,0,01982629,2 3 1
257,17,0,01883498,2 3 1
258,17,0,01789323,2 3 1
259,17,0,01699857,2 3 1
260,17,0,01614864,2 3 1
261,17,0,01534121,2 3 1
262,17,0,01457415,2 3 1
263,17,0,01384544,2 3 1
264,17,0,01315317,2 3 1
265,17,0,01249551,2 3 1
266,17,0,01187073,2 3 1
267,17,0,0112772,2 3 1
268,17,0,01071334,2 3 1
269,17,0,01017767,2 3 1
270,17,0,009668786,2 3 1
271,17,0,009185347,2 3 1
272,17,0,008726079,2 3 1
273,17,0,008289775,2 3 1
274,17,0,007875286,2 3 1
275,17,0,007481522,2 3 1
276,17,0,007107446,2 3 1
277,17,0,006752073,2 3 1
278,17,0,006414469,2 3 1
279,17,0,006093747,2 3 1
280,17,0,005789059,2 3 1
281,17,0,005499606,2 3 1
282,17,0,005224625,2 3 1
283,17,0,004963394,2 3 1
284,17,0,004715224,2 3 1
285,17,0,004479463,2 3 1
286,17,0,00425549,2 3 1
287,17,0,004042715,2 3 1
288,17,0,00384058,2 3 1
289,17,0,00364855,2 3 1
290,17,0,003466123,2 3 1
291,17,0,003292817,2 3 1
292,17,0,003128176,2 3 1
293,17,0,002971767,2 3 1
294,17,0,002823179,2 3 1
295,17,0,00268202,2 3 1
296,17,0,002547919,2 3 1
297,17,0,002420523,2 3 1
298,17,0,002299496,2 3 1
299,17,0,002184522,2 3 1
300,17,0,002075295,2 3 1
301,17,0,001971531,2 3 1
302,17,0,001872954,2 3 1
303,17,0,001779306,2 3 1
304,17,0,001690341,2 3 1
305,17,0,001605824,2 3 1
306,17,0,001525533,2 3 1
307,17,0,001449256,2 3 1
308,17,0,001376793,2 3 1
309,17,0,001307954,2 3 1
310,17,0,001242556,2 3 1
311,17,0,001180428,2 3 1
312,17,0,001121407,2 3 1
313,17,0,001065336,2 3 1
314,17,0,00101207,2 3 1
315,17,0,0009614661,2 3 1
316,17,0,0009133928,2 3 1
317,17,0,0008677231,2 3 1
318,17,0,000824337,2 3 1
319,17,0,00078312,2 3 1
320,17,0,000743964,2 3 1
321,17,0,0007067659,2 3 1
322,17,0,0006714276,2 3 1
323,17,0,0006378561,2 3 1
324,17,0,0006059633,2 3 1
325,17,0,0005756652,2 3 1
326,17,0,0005468819,2 3 1
327,17,0,0005195378,2 3 1
328,17,0,0004935609,2 3 1
329,17,0,0004688828,2 3 1
330,17,0,0004454387,2 3 1
331,17,0,0004231668,2 3 1
332,17,0,0004020084,2 3 1
333,17,0,000381908,2 3 1
334,17,0,0003628126,2 3 1
335,17,0,0003446719,2 3 1
336,17,0,0003274383,2 3 1
337,17,0,0003110665,2 3 1
338,17,0,0002955131,2 3 1
339,17,0,0002807374,2 3 1
340,17,0,0002667006,2 3 1
341,17,0,0002533655,2 3 1
342,17,0,0002406973,2 3 1
343,17,0,0002286624,2 3 1
344,17,0,0002172293,2 3 1
345,17,0,0002063678,2 3 1
346,17,0,0001960494,2 3 1
347,17,0,000186247,2 3 1
348,17,0,0001769346,2 3 1
349,17,0,0001680878,2 3 1
350,17,0,0001596835,2 3 1
351,17,0,0001516993,2 3 1
352,17,0,0001441143,2 3 1
353,17,0,0001369086,2 3 1
354,17,0,0001300632,2 3 1
355,17,0,00012356,2 3 1
356,17,0,000117382,2 3 1
357,17,0,0001115129,2 3 1
358,17,0,0001059373,2 3 1
359,17,0,0001006404,2 3 1
360,17,9,560837E-05,2 3 1
361,17,9,082796E-05,2 3 1
362,17,8,628656E-05,2 3 1
363,17,8,197223E-05,2 3 1
364,17,7,787362E-05,2 3 1
365,17,7,397994E-05,2 3 1
366,17,7,028093E-05,2 3 1
367,17,6,676689E-05,2 3 1
368,17,6,342854E-05,2 3 1
369,17,6,025712E-05,2 3 1
370,17,5,724426E-05,2 3 1
371,17,5,438205E-05,2 3 1
372,17,5,166294E-05,2 3 1
373,17,4,907979E-05,2 3 1
374,17,4,662581E-05,2 3 1
375,17,4,429451E-05,2 3 1
376,17,4,207979E-05,2 3 1
377,17,3,99758E-05,2 3 1
378,17,3,797701E-05,2 3 1
379,17,3,607816E-05,2 3 1
380,17,3,427425E-05,2 3 1
381,17,3,256054E-05,2 3 1
382,17,3,093251E-05,2 3 1
383,17,2,938588E-05,2 3 1
384,17,2,791659E-05,2 3 1
385,17,2,652076E-05,2 3 1
386,17,2,519472E-05,2 3 1
387,17,2,393498E-05,2 3 1
388,17,2,273823E-05,2 3 1
389,17,2,160132E-05,2 3 1
390,17,2,052126E-05,2 3 1
391,17,1,949519E-05,2 3 1
392,17,1,852043E-05,2 3 1
393,17,1,759441E-05,2 3 1
394,17,1,671469E-05,2 3 1
395,17,1,587896E-05,2 3 1
396,17,1,508501E-05,2 3 1
397,17,1,433076E-05,2 3 1
398,17,1,361422E-05,2 3 1
399,17,1,293351E-05,2 3 1
400,17,1,228683E-05,2 3 1
401,17,1,167249E-05,2 3 1
402,17,1,108887E-05,2 3 1
403,17,1,053442E-05,2 3 1
404,17,1,00077E-05,2 3 1
405,17,9,507316E-06,2 3 1
406,17,9,03195E-06,2 3 1
407,17,8,580352E-06,2 3 1
408,17,8,151334E-06,2 3 1
409,17,7,743768E-06,2 3 1
410,17,7,35658E-06,2 3 1
411,17,6,988751E-06,2 3 1
412,17,6,639313E-06,2 3 1
413,17,6,307347E-06,2 3 1
414,17,5,99198E-06,2 3 1
415,17,5,69238E-06,2 3 1
416,17,5,407761E-06,2 3 1
417,17,5,137373E-06,2 3 1
418,17,4,880505E-06,2 3 1
419,17,4,636479E-06,2 3 1
420,17,4,404655E-06,2 3 1
421,17,4,184422E-06,2 3 1
422,17,3,975201E-06,2 3 1
423,17,3,776441E-06,2 3 1
424,17,3,587619E-06,2 3 1
425,17,3,408238E-06,2 3 1
426,17,3,237826E-06,2 3 1
427,17,3,075935E-06,2 3 1
428,17,2,922138E-06,2 3 1
429,17,2,776031E-06,2 3 1
430,17,2,637229E-06,2 3 1
431,17,2,505368E-06,2 3 1
432,17,2,3801E-06,2 3 1
433,17,2,261095E-06,2 3 1
434,17,2,14804E-06,2 3 1
435,17,2,040638E-06,2 3 1
436,17,1,938606E-06,2 3 1
437,17,1,841676E-06,2 3 1
438,17,1,749592E-06,2 3 1
439,17,1,662112E-06,2 3 1
440,17,1,579006E-06,2 3 1
441,17,1,500056E-06,2 3 1
442,17,1,425053E-06,2 3 1
443,17,1,353801E-06,2 3 1
444,17,1,286111E-06,2 3 1
445,17,1,221805E-06,2 3 1
446,17,1,160715E-06,2 3 1
447,17,1,102679E-06,2 3 1
448,17,1,047545E-06,2 3 1
449,17,0,2 3 1
