Iteration,Cost,Temperature,Sequence
0,201,10000,15 7 5 14 2 17 6 4 3 16 18 13 11 12 20 8 1 19 9 10
1,193,9500,15 7 5 14 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
2,187,9025,15 7 14 5 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
3,187,8573,75,15 7 14 5 2 10 6 4 3 16 18 13 11 12 19 8 1 20 9 17
4,193,8145,063,8 7 14 5 2 10 6 4 3 16 18 13 11 12 19 15 1 20 9 17
5,195,7737,809,8 7 14 10 2 5 6 4 3 16 18 13 11 12 19 15 1 20 9 17
6,207,7350,918,8 7 14 10 2 5 6 4 3 16 12 13 11 18 19 15 1 20 9 17
7,205,6983,373,8 7 14 10 2 5 6 4 3 16 1 13 11 18 19 15 12 20 9 17
8,199,6634,204,8 7 14 10 2 5 6 4 3 16 1 13 11 18 15 19 12 20 9 17
9,191,6302,493,8 13 14 10 2 5 6 4 3 16 1 7 11 18 15 19 12 20 9 17
10,221,5987,369,8 13 14 10 2 5 6 4 3 16 19 7 11 18 15 1 12 20 9 17
11,217,5688,8 13 14 17 2 5 6 4 3 16 19 7 11 18 15 1 12 20 9 10
12,215,5403,6,8 13 14 17 2 5 6 4 3 16 19 11 7 18 15 1 12 20 9 10
13,203,5133,42,8 13 14 17 2 5 6 4 3 16 19 11 7 18 15 1 12 9 20 10
14,195,4876,749,8 13 14 17 2 5 6 4 3 16 19 1 7 18 15 11 12 9 20 10
15,217,4632,912,8 13 14 17 2 5 6 4 3 16 19 1 12 18 15 11 7 9 20 10
16,213,4401,266,8 13 14 17 2 5 6 4 19 16 3 1 12 18 15 11 7 9 20 10
17,215,4181,202,8 13 14 17 2 5 6 4 19 16 3 1 12 18 15 11 10 9 20 7
18,199,3972,142,8 13 14 17 2 5 6 4 19 16 3 1 20 18 15 11 10 9 12 7
19,213,3773,535,8 13 14 9 2 5 6 4 19 16 3 1 20 18 15 11 10 17 12 7
20,207,3584,858,8 13 14 9 2 5 6 4 19 16 3 1 10 18 15 11 20 17 12 7
21,209,3405,615,8 13 14 9 2 5 6 4 19 16 3 1 10 18 17 11 20 15 12 7
22,201,3235,334,8 13 14 9 2 5 6 4 19 16 3 1 10 7 17 11 20 15 12 18
23,209,3073,568,8 13 14 9 2 5 6 4 19 16 3 17 10 7 1 11 20 15 12 18
24,221,2919,889,8 13 14 9 2 19 6 4 5 16 3 17 10 7 1 11 20 15 12 18
25,209,2773,895,8 13 14 9 2 19 6 4 5 16 11 17 10 7 1 3 20 15 12 18
