Iteration,Cost,Temperature,Sequence
0,201,5000,15 7 5 14 2 17 6 4 3 16 18 13 11 12 20 8 1 19 9 10
1,193,0,99,15 7 5 14 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
2,187,1,98,15 7 14 5 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
3,187,2,97,15 7 14 5 2 10 6 4 3 16 18 13 11 12 19 8 1 20 9 17
4,187,3,96,15 7 14 5 2 10 6 4 3 16 18 13 11 12 19 8 1 20 9 17
5,189,4,95,15 7 14 10 2 5 6 4 3 16 18 13 11 12 19 8 1 20 9 17
6,189,5,94,15 7 14 10 2 5 6 4 3 16 18 13 11 12 19 8 1 20 9 17
7,187,6,93,15 7 14 10 2 5 6 4 3 16 1 13 11 12 19 8 18 20 9 17
8,185,7,92,15 7 14 10 2 5 6 4 3 16 1 13 11 12 8 19 18 20 9 17
9,175,8,91,15 13 14 10 2 5 6 4 3 16 1 7 11 12 8 19 18 20 9 17
10,175,9,9,15 13 14 10 2 5 6 4 3 16 1 7 11 12 8 19 18 20 9 17
11,171,10,89,15 13 14 17 2 5 6 4 3 16 1 7 11 12 8 19 18 20 9 10
12,171,11,88,15 13 14 17 2 5 6 4 3 16 1 7 11 12 8 19 18 20 9 10
13,171,12,87,15 13 14 17 2 5 6 4 3 16 1 7 11 12 8 19 18 20 9 10
14,171,13,86,15 13 14 17 2 5 6 4 3 16 1 7 11 12 8 19 18 20 9 10
15,171,14,85,15 13 14 17 2 5 6 4 3 16 1 7 11 12 8 19 18 20 9 10
16,175,15,84,15 13 14 17 2 5 6 4 1 16 3 7 11 12 8 19 18 20 9 10
17,175,16,83,15 13 14 17 2 5 6 4 1 16 3 7 11 12 8 19 18 20 9 10
18,167,17,82,15 13 14 17 2 5 6 4 1 16 3 7 9 12 8 19 18 20 11 10
19,173,18,81,15 13 14 20 2 5 6 4 1 16 3 7 9 12 8 19 18 17 11 10
20,191,19,8,15 13 14 20 2 5 6 4 1 16 3 7 18 12 8 19 9 17 11 10
21,179,20,79,15 13 14 20 2 5 6 4 1 16 3 7 18 12 17 19 9 8 11 10
22,173,21,78,15 13 14 20 2 5 6 4 1 16 3 7 18 10 17 19 9 8 11 12
23,173,22,77,15 13 14 20 2 5 6 4 1 16 3 17 18 10 7 19 9 8 11 12
24,173,23,76,15 13 14 20 2 1 6 4 5 16 3 17 18 10 7 19 9 8 11 12
25,149,24,75,15 13 14 20 2 1 6 4 5 16 19 17 18 10 7 3 9 8 11 12
26,135,25,74,15 13 14 20 2 1 6 4 7 16 19 17 18 10 5 3 9 8 11 12
27,129,26,73,15 13 14 19 2 1 6 4 7 16 20 17 18 10 5 3 9 8 11 12
28,127,27,72,15 13 14 19 2 1 6 4 7 16 17 20 18 10 5 3 9 8 11 12
29,127,28,71,15 13 14 19 2 1 6 4 7 16 17 20 18 10 5 3 9 8 11 12
30,131,29,7,15 13 14 19 2 7 6 4 1 16 17 20 18 10 5 3 9 8 11 12
