Iteration,Cost,Temperature,Sequence
0,62,5000,5 2 6 4 3 1
1,40,0,99,5 3 6 4 2 1
2,40,1,98,5 3 6 4 2 1
3,40,2,97,5 3 6 4 2 1
4,40,3,96,5 3 6 4 2 1
5,40,4,95,5 3 6 4 2 1
6,35,5,94,5 3 6 1 2 4
7,35,6,93,5 3 6 1 2 4
8,33,7,92,3 5 6 1 2 4
9,37,8,91,3 6 5 1 2 4
10,37,9,9,3 6 5 1 2 4
11,38,10,89,3 6 5 4 2 1
12,38,11,88,3 6 5 4 2 1
13,52,12,87,3 6 2 4 5 1
14,58,13,86,3 6 2 5 4 1
15,59,14,85,3 1 2 5 4 6
16,61,15,84,3 1 5 2 4 6
17,45,16,83,3 5 1 2 4 6
18,43,17,82,3 6 1 2 4 5
19,51,18,81,2 6 1 3 4 5
20,43,19,8,5 6 1 3 4 2
21,45,20,79,5 6 4 3 1 2
22,43,21,78,5 6 1 3 4 2
23,47,22,77,5 6 1 4 3 2
24,43,23,76,5 6 1 3 4 2
25,43,24,75,5 6 3 1 4 2
26,39,25,74,6 5 3 1 4 2
27,42,26,73,6 5 2 1 4 3
28,51,27,72,3 5 2 1 4 6
29,65,28,71,3 2 5 1 4 6
30,61,29,7,3 2 5 4 1 6
31,57,30,69,3 1 5 4 2 6
32,43,31,68,1 3 5 4 2 6
33,47,32,67,2 3 5 4 1 6
34,39,33,66,6 3 5 4 1 2
35,43,34,65,5 3 6 4 1 2
36,41,35,64,5 3 6 1 4 2
37,41,36,63,6 3 5 1 4 2
38,51,37,62,6 3 4 1 5 2
39,41,38,61,6 3 5 1 4 2
40,49,39,6,4 3 5 1 6 2
41,53,40,59,4 3 6 1 5 2
42,49,41,58,4 3 5 1 6 2
43,57,42,57,4 6 5 1 3 2
44,61,43,56,4 6 3 1 5 2
45,45,44,55,4 6 3 5 1 2
46,41,45,54,4 5 3 6 1 2
47,43,46,53,4 5 6 3 1 2
48,33,47,52,1 5 6 3 4 2
49,42,48,51,2 5 6 3 4 1
50,48,49,5,2 5 3 6 4 1
51,40,50,49,6 5 3 2 4 1
52,36,51,48,6 5 1 2 4 3
53,40,52,47,6 5 3 2 4 1
54,60,53,46,6 4 3 2 5 1
55,36,54,45,2 4 3 6 5 1
56,48,55,44,2 3 4 6 5 1
57,48,56,43,6 3 4 2 5 1
58,60,57,42,6 4 3 2 5 1
59,45,58,41,1 4 3 2 5 6
60,45,59,4,3 4 1 2 5 6
61,39,60,39,3 4 2 1 5 6
62,42,61,38,6 4 2 1 5 3
63,47,62,37,6 3 2 1 5 4
64,35,63,36,6 3 5 1 2 4
65,45,64,35,6 1 5 3 2 4
66,41,65,34,6 1 5 3 4 2
67,47,66,33,6 1 4 3 5 2
68,41,67,32,6 5 4 3 1 2
69,42,68,31,6 5 4 3 2 1
70,41,69,3,6 5 4 3 1 2
71,47,70,29,6 4 5 3 1 2
72,41,71,28,1 4 5 3 6 2
73,37,72,27,1 4 2 3 6 5
74,53,73,26,1 5 2 3 6 4
75,39,74,25,1 2 5 3 6 4
76,41,75,24,1 2 5 3 4 6
77,47,76,23,1 3 5 2 4 6
78,45,77,22,5 3 1 2 4 6
79,36,78,21,5 6 1 2 4 3
80,50,79,2,2 6 1 5 4 3
81,50,80,19,1 6 2 5 4 3
82,38,81,18,1 6 5 2 4 3
83,50,82,17,1 4 5 2 6 3
84,51,83,16,1 3 5 2 6 4
85,43,84,15,1 6 5 2 3 4
86,43,85,14,1 6 4 2 3 5
87,53,86,13,1 6 4 3 2 5
88,53,87,12,3 6 4 1 2 5
89,47,88,11,3 2 4 1 6 5
90,47,89,1,3 2 4 1 6 5
91,48,90,09,3 2 4 5 6 1
92,42,91,08,4 2 3 5 6 1
93,38,92,07,4 2 1 5 6 3
94,30,93,06,1 2 4 5 6 3
95,50,94,05,5 2 4 1 6 3
96,47,95,04,3 2 4 1 6 5
97,49,96,03,3 2 1 4 6 5
98,43,97,02,3 4 1 2 6 5
99,39,98,01,2 4 1 3 6 5
100,33,99,2 1 4 3 6 5
101,39,99,99,2 1 6 3 4 5
102,41,100,98,2 1 5 3 4 6
103,40,101,97,2 1 5 6 4 3
104,50,102,96,6 1 5 2 4 3
105,55,103,95,6 1 5 2 3 4
106,53,104,94,6 1 5 4 3 2
107,49,105,93,6 1 4 5 3 2
108,53,106,92,6 4 1 5 3 2
109,43,107,91,6 4 3 5 1 2
110,39,108,9,2 4 3 5 1 6
111,43,109,89,2 4 5 3 1 6
112,47,110,88,2 4 5 1 3 6
113,40,111,87,2 4 5 6 3 1
114,33,112,86,2 1 5 6 3 4
115,45,113,85,5 1 2 6 3 4
116,51,114,84,5 1 2 3 6 4
117,50,115,83,5 4 2 3 6 1
118,52,116,82,5 4 2 6 3 1
119,46,117,81,3 4 2 6 5 1
120,46,118,8,3 4 2 5 6 1
121,58,119,79,3 4 5 2 6 1
122,65,120,78,3 1 5 2 6 4
123,63,121,77,3 2 5 1 6 4
124,65,122,76,3 2 5 1 4 6
125,59,123,75,3 2 6 1 4 5
126,55,124,74,3 2 1 6 4 5
127,43,125,73,3 6 1 2 4 5
128,49,126,72,3 6 1 5 4 2
129,43,127,71,3 6 5 1 4 2
130,65,128,7,3 2 5 1 4 6
131,65,129,69,5 2 3 1 4 6
132,51,130,68,5 4 3 1 2 6
133,51,131,67,3 4 5 1 2 6
134,51,132,66,3 4 5 2 1 6
135,51,133,65,3 4 5 1 2 6
136,47,134,64,1 4 5 3 2 6
137,35,135,63,1 4 2 3 5 6
138,39,136,62,3 4 2 1 5 6
139,45,137,61,3 4 1 2 5 6
140,51,138,6,3 1 4 2 5 6
141,61,139,59,3 1 6 2 5 4
142,63,140,58,3 1 6 4 5 2
143,59,141,57,3 4 6 1 5 2
144,44,142,56,2 4 6 1 5 3
