Iteration,Cost,Temperature,Sequence
0,27,5000,3 2 1
1,27,4950,2 3 1
2,27,4900,5,3 2 1
3,27,4851,495,2 3 1
4,27,4802,98,1 3 2
5,27,4754,95,3 1 2
6,27,4707,401,2 1 3
7,27,4660,327,1 2 3
8,27,4613,724,2 1 3
9,27,4567,586,2 3 1
10,27,4521,911,1 3 2
11,27,4476,691,1 2 3
12,27,4431,924,2 1 3
13,27,4387,605,2 3 1
14,27,4343,729,3 2 1
15,27,4300,292,2 3 1
16,27,4257,289,3 2 1
17,27,4214,716,1 2 3
18,27,4172,569,1 3 2
19,27,4130,843,2 3 1
20,27,4089,535,2 1 3
21,27,4048,64,3 1 2
22,27,4008,153,3 2 1
23,27,3968,072,1 2 3
24,27,3928,391,2 1 3
25,27,3889,107,2 3 1
26,27,3850,216,3 2 1
27,27,3811,714,1 2 3
28,27,3773,597,2 1 3
29,27,3735,861,1 2 3
30,27,3698,502,3 2 1
31,27,3661,517,2 3 1
32,27,3624,902,2 1 3
33,27,3588,653,2 3 1
34,27,3552,766,1 3 2
35,27,3517,239,2 3 1
36,27,3482,066,2 1 3
37,27,3447,246,3 1 2
38,27,3412,773,3 2 1
39,27,3378,646,2 3 1
40,27,3344,859,3 2 1
41,27,3311,411,3 1 2
42,27,3278,297,2 1 3
43,27,3245,514,2 3 1
44,27,3213,059,1 3 2
45,27,3180,928,2 3 1
46,27,3149,119,3 2 1
47,27,3117,627,3 1 2
48,27,3086,451,2 1 3
49,27,3055,587,3 1 2
50,27,3025,031,2 1 3
51,27,2994,781,2 3 1
52,27,2964,833,3 2 1
53,27,2935,184,1 2 3
54,27,2905,833,1 3 2
55,27,2876,774,3 1 2
56,27,2848,006,2 1 3
57,27,2819,526,1 2 3
58,27,2791,331,3 2 1
59,27,2763,418,1 2 3
60,27,2735,783,3 2 1
61,27,2708,426,3 1 2
62,27,2681,341,3 2 1
63,27,2654,528,1 2 3
64,27,2627,983,3 2 1
65,27,2601,703,3 1 2
66,27,2575,686,3 2 1
67,27,2549,929,3 1 2
68,27,2524,43,3 2 1
69,27,2499,185,3 1 2
70,27,2474,193,1 3 2
71,27,2449,451,2 3 1
72,27,2424,957,2 1 3
