Iteration,Cost,Temperature,Sequence
0,35,5000,1 4 2 3 5 6
1,43,4950,1 3 2 4 5 6
2,53,4900,5,1 3 6 4 5 2
3,43,4851,495,5 3 6 4 1 2
4,41,4802,98,5 3 6 2 1 4
5,55,4754,95,5 1 6 2 3 4
6,41,4707,401,5 3 6 2 1 4
7,35,4660,327,5 3 6 1 2 4
8,43,4613,724,5 3 4 1 2 6
9,57,4567,586,5 1 4 3 2 6
10,31,4521,911,2 1 4 3 5 6
11,41,4476,691,2 1 5 3 4 6
12,39,4431,924,2 1 6 3 4 5
13,33,4387,605,2 1 4 3 6 5
14,43,4343,729,2 3 4 1 6 5
15,39,4300,292,1 3 4 2 6 5
16,45,4257,289,4 3 1 2 6 5
17,47,4214,716,4 3 6 2 1 5
18,53,4172,569,2 3 6 4 1 5
19,39,4130,843,2 1 6 4 3 5
20,53,4089,535,2 3 6 4 1 5
21,43,4048,64,5 3 6 4 1 2
22,37,4008,153,5 6 3 4 1 2
23,57,3968,072,5 2 3 4 1 6
24,60,3928,391,5 2 3 4 6 1
25,39,3889,107,1 2 3 4 6 5
26,45,3850,216,1 5 3 4 6 2
27,49,3811,714,1 5 3 2 6 4
28,54,3773,597,4 5 3 2 6 1
29,62,3735,861,4 6 3 2 5 1
30,56,3698,502,3 6 4 2 5 1
31,48,3661,517,3 5 4 2 6 1
32,48,3624,902,6 5 4 2 3 1
33,52,3588,653,5 6 4 2 3 1
34,41,3552,766,5 6 1 2 3 4
35,43,3517,239,1 6 5 2 3 4
36,55,3482,066,6 1 5 2 3 4
37,65,3447,246,3 1 5 2 6 4
38,51,3412,773,1 3 5 2 6 4
39,39,3378,646,1 2 5 3 6 4
40,35,3344,859,1 2 6 3 5 4
41,35,3311,411,1 2 3 6 5 4
42,49,3278,297,1 6 3 2 5 4
43,49,3245,514,3 6 1 2 5 4
44,45,3213,059,3 2 1 6 5 4
45,59,3180,928,3 2 6 1 5 4
46,59,3149,119,3 2 6 1 4 5
47,55,3117,627,3 2 1 6 4 5
48,57,3086,451,3 1 2 6 4 5
49,55,3055,587,3 2 1 6 4 5
50,59,3025,031,3 2 6 1 4 5
51,49,2994,781,4 2 6 1 3 5
52,47,2964,833,4 3 6 1 2 5
53,42,2935,184,4 3 6 5 2 1
54,56,2905,833,4 3 6 2 5 1
55,56,2876,774,4 5 6 2 3 1
56,48,2848,006,6 5 4 2 3 1
57,42,2819,526,6 5 4 3 2 1
58,46,2791,331,6 3 4 5 2 1
59,53,2763,418,1 3 4 5 2 6
60,45,2735,783,1 4 3 5 2 6
61,45,2708,426,1 4 3 2 5 6
62,57,2681,341,4 1 3 2 5 6
63,47,2654,528,4 5 3 2 1 6
64,48,2627,983,4 5 6 2 1 3
65,38,2601,703,1 5 6 2 4 3
66,36,2575,686,1 2 6 5 4 3
67,50,2549,929,1 4 6 5 2 3
68,46,2524,43,2 4 6 5 1 3
69,49,2499,185,2 4 6 3 1 5
70,39,2474,193,2 1 6 3 4 5
71,49,2449,451,2 4 6 3 1 5
72,51,2424,957,5 4 6 3 1 2
73,57,2400,707,5 2 6 3 1 4
74,54,2376,7,5 2 6 3 4 1
75,55,2352,933,5 2 1 3 4 6
76,47,2329,404,5 2 1 4 3 6
77,53,2306,11,5 2 4 1 3 6
78,57,2283,049,5 2 6 1 3 4
79,57,2260,218,6 2 5 1 3 4
80,43,2237,616,6 5 2 1 3 4
81,53,2215,24,6 5 2 3 1 4
82,37,2193,087,6 5 3 2 1 4
83,47,2171,156,4 5 3 2 1 6
84,48,2149,445,4 5 6 2 1 3
85,56,2127,95,4 5 6 2 3 1
86,56,2106,671,4 3 6 2 5 1
87,62,2085,604,4 6 3 2 5 1
88,60,2064,748,4 6 5 2 3 1
89,60,2044,101,4 6 2 5 3 1
90,46,2023,66,5 6 2 4 3 1
91,46,2003,423,2 6 5 4 3 1
92,58,1983,389,6 2 5 4 3 1
93,62,1963,555,5 2 6 4 3 1
94,64,1943,92,5 2 6 4 1 3
95,43,1924,48,5 3 6 4 1 2
96,53,1905,236,2 3 6 4 1 5
97,39,1886,183,2 1 6 4 3 5
98,59,1867,322,3 1 6 4 2 5
99,57,1848,648,3 1 5 4 2 6
100,63,1830,162,3 1 5 4 6 2
101,53,1811,86,3 1 4 5 6 2
102,49,1793,742,3 1 4 2 6 5
103,50,1775,804,5 1 4 2 6 3
104,44,1758,046,1 5 4 2 6 3
105,50,1740,466,4 5 1 2 6 3
106,50,1723,061,4 6 1 2 5 3
107,49,1705,83,3 6 1 2 5 4
108,55,1688,772,3 6 1 4 5 2
109,63,1671,884,3 1 6 4 5 2
110,47,1655,166,3 1 6 5 4 2
111,53,1638,614,3 1 4 5 6 2
112,43,1622,228,1 3 4 5 6 2
113,47,1606,005,5 3 4 1 6 2
114,51,1589,945,3 5 4 1 6 2
115,47,1574,046,5 3 4 1 6 2
116,43,1558,306,2 3 4 1 6 5
117,49,1542,723,2 3 5 1 6 4
118,51,1527,295,1 3 5 2 6 4
119,39,1512,022,1 2 5 3 6 4
120,33,1496,902,1 2 5 6 3 4
121,47,1481,933,1 5 2 6 3 4
122,45,1467,114,5 1 2 6 3 4
123,51,1452,443,5 1 3 6 2 4
124,37,1437,918,2 1 3 6 5 4
125,47,1423,539,3 1 2 6 5 4
126,45,1409,304,3 2 1 6 5 4
127,47,1395,211,3 1 2 6 5 4
128,43,1381,259,3 1 2 4 5 6
129,45,1367,446,3 1 2 4 6 5
130,57,1353,771,3 1 2 6 4 5
131,47,1340,234,6 1 2 3 4 5
132,48,1326,831,6 1 2 5 4 3
133,59,1313,563,3 1 2 5 4 6
134,58,1300,427,3 6 2 5 4 1
135,54,1287,423,3 2 6 5 4 1
136,52,1274,549,6 2 3 5 4 1
137,60,1261,803,5 2 3 6 4 1
138,56,1249,185,5 3 2 6 4 1
139,58,1236,694,3 5 2 6 4 1
140,52,1224,327,3 5 2 4 6 1
141,49,1212,083,3 5 2 1 6 4
142,49,1199,963,3 6 2 1 5 4
143,49,1187,963,3 6 1 2 5 4
144,43,1176,083,3 6 5 2 1 4
145,41,1164,322,5 6 3 2 1 4
146,41,1152,679,5 6 1 2 3 4
147,47,1141,152,5 6 1 3 2 4
148,65,1129,741,4 6 1 3 2 5
149,59,1118,444,4 3 1 6 2 5
150,59,1107,259,4 1 3 6 2 5
151,51,1096,187,5 1 3 6 2 4
152,63,1085,225,5 1 3 2 6 4
153,59,1074,372,5 1 3 2 4 6
154,44,1063,629,5 6 3 2 4 1
155,59,1052,992,5 1 3 2 4 6
156,61,1042,462,3 1 5 2 4 6
157,41,1032,038,2 1 5 3 4 6
158,51,1021,717,2 3 5 1 4 6
159,45,1011,5,2 3 4 1 5 6
160,48,1001,385,2 3 4 6 5 1
161,36,991,3713,2 1 4 6 5 3
162,40,981,4576,4 1 2 6 5 3
163,54,971,6431,4 1 6 2 5 3
164,48,961,9266,4 5 6 2 1 3
165,56,952,3074,5 4 6 2 1 3
166,50,942,7843,5 1 6 2 4 3
167,56,933,3564,5 4 6 2 1 3
168,50,924,0229,5 1 6 2 4 3
169,54,914,7827,4 1 6 2 5 3
170,57,905,6348,4 1 3 2 5 6
171,59,896,5785,4 1 5 2 3 6
172,55,887,6127,6 1 5 2 3 4
173,59,878,7366,4 1 5 2 3 6
174,45,869,9493,4 3 5 2 1 6
175,59,861,2498,4 1 5 2 3 6
176,60,852,6373,4 6 5 2 3 1
177,43,844,111,1 6 5 2 3 4
178,51,835,6699,1 4 5 2 3 6
179,49,827,3132,1 4 6 2 3 5
180,53,819,04,4 1 6 2 3 5
