Iteration,Cost,Temperature,Sequence
0,39,10000,1 2 6 4 3 5
1,45,9900,1 5 6 4 3 2
2,47,9801,6 5 1 4 3 2
3,47,9702,99,5 6 1 4 3 2
4,55,9605,96,5 3 1 4 6 2
5,49,9509,9,5 3 1 6 4 2
6,43,9414,802,5 6 1 3 4 2
7,45,9320,653,5 1 6 3 4 2
8,54,9227,447,5 2 6 3 4 1
9,60,9135,173,5 2 3 6 4 1
10,55,9043,821,5 2 3 6 1 4
11,63,8953,383,5 2 3 1 6 4
12,55,8863,849,5 2 3 6 1 4
13,60,8775,21,5 2 3 6 4 1
14,52,8687,458,6 2 3 5 4 1
15,48,8600,583,6 2 1 5 4 3
16,41,8514,577,6 2 1 5 3 4
17,49,8429,432,3 2 1 5 6 4
18,35,8345,138,1 2 3 5 6 4
19,49,8261,687,1 5 3 2 6 4
20,37,8179,07,1 5 3 6 2 4
21,47,8097,279,3 5 1 6 2 4
22,49,8016,307,3 1 5 6 2 4
23,44,7936,144,3 4 5 6 2 1
24,38,7856,782,4 3 5 6 2 1
25,46,7778,214,5 3 4 6 2 1
26,62,7700,432,5 1 4 6 2 3
27,57,7623,428,5 1 4 3 2 6
28,62,7547,193,5 1 4 6 2 3
29,54,7471,721,4 1 5 6 2 3
30,59,7397,004,4 1 3 6 2 5
31,54,7323,034,4 1 5 6 2 3
32,62,7249,803,5 1 4 6 2 3
33,52,7177,305,5 1 2 6 4 3
34,62,7105,532,5 1 4 6 2 3
35,58,7034,477,6 1 4 5 2 3
36,46,6964,132,6 1 4 2 5 3
37,38,6894,491,6 1 2 4 5 3
38,50,6825,546,6 3 2 4 5 1
39,50,6757,291,6 4 2 3 5 1
40,48,6689,718,6 4 5 3 2 1
41,47,6622,821,1 4 5 3 2 6
42,41,6556,593,1 2 5 3 4 6
43,47,6491,027,1 4 5 3 2 6
44,51,6426,117,1 5 4 3 2 6
45,47,6361,856,3 5 4 1 2 6
46,50,6298,237,3 5 4 6 2 1
47,38,6235,255,3 5 6 4 2 1
48,44,6172,902,4 5 6 3 2 1
49,42,6111,173,2 5 6 3 4 1
50,48,6050,062,2 5 4 3 6 1
51,53,5989,561,2 5 4 3 1 6
52,43,5929,666,2 4 5 3 1 6
53,42,5870,369,2 4 5 6 1 3
54,50,5811,665,4 2 5 6 1 3
55,53,5753,548,3 2 5 6 1 4
56,57,5696,013,3 2 4 6 1 5
57,47,5639,053,3 5 4 6 1 2
58,51,5582,662,3 5 4 1 6 2
59,39,5526,835,3 5 6 1 4 2
60,59,5471,567,3 4 6 1 5 2
61,62,5416,851,3 4 6 2 5 1
62,59,5362,683,3 4 6 1 5 2
63,44,5309,056,2 4 6 1 5 3
64,50,5255,965,2 6 4 1 5 3
65,44,5203,406,2 6 5 1 4 3
66,50,5151,372,2 6 1 5 4 3
67,64,5099,858,4 6 1 5 2 3
68,46,5048,859,5 6 1 4 2 3
69,51,4998,371,3 6 1 4 2 5
70,51,4948,387,6 3 1 4 2 5
71,51,4898,903,6 1 3 4 2 5
72,30,4849,914,6 5 3 4 2 1
73,36,4801,415,6 3 5 4 2 1
74,40,4753,4,5 3 6 4 2 1
75,34,4705,866,5 6 3 4 2 1
76,53,4658,808,5 1 3 4 2 6
77,57,4612,22,3 1 5 4 2 6
78,38,4566,098,3 6 5 4 2 1
79,46,4520,437,3 6 5 2 4 1
80,58,4475,232,3 6 2 5 4 1
81,59,4430,479,3 1 2 5 4 6
82,45,4386,175,2 1 3 5 4 6
83,53,4342,313,2 5 3 1 4 6
84,39,4298,89,6 5 3 1 4 2
85,53,4255,901,4 5 3 1 6 2
86,61,4213,342,4 6 3 1 5 2
87,53,4171,208,4 3 6 1 5 2
88,56,4129,497,4 3 6 2 5 1
89,53,4088,202,4 3 6 1 5 2
90,51,4047,32,4 3 1 6 5 2
91,49,4006,846,3 4 1 6 5 2
92,55,3966,778,3 6 1 4 5 2
93,47,3927,11,5 6 1 4 3 2
94,55,3887,839,3 6 1 4 5 2
95,49,3848,961,3 6 1 2 5 4
96,41,3810,471,5 6 1 2 3 4
97,41,3772,367,6 5 1 2 3 4
98,37,3734,643,6 5 3 2 1 4
99,40,3697,297,6 5 4 2 1 3
100,58,3660,324,2 5 4 6 1 3
101,54,3623,72,2 5 1 6 4 3
102,48,3587,483,2 5 3 6 4 1
103,44,3551,608,2 6 3 5 4 1
104,51,3516,092,2 6 3 1 4 5
105,39,3480,931,2 4 3 1 6 5
106,55,3446,122,5 4 3 1 6 2
107,39,3411,661,2 4 3 1 6 5
108,51,3377,544,2 6 3 1 4 5
109,55,3343,769,4 6 3 1 2 5
110,51,3310,331,4 6 2 1 3 5
111,60,3277,228,4 6 2 5 3 1
112,52,3244,456,4 3 2 5 6 1
113,52,3212,011,4 3 2 6 5 1
114,46,3179,891,3 4 2 6 5 1
115,34,3148,092,1 4 2 6 5 3
116,54,3116,611,1 5 2 6 4 3
117,57,3085,445,1 3 2 6 4 5
118,56,3054,591,5 3 2 6 4 1
119,56,3024,045,6 3 2 5 4 1
120,50,2993,804,6 3 2 4 5 1
121,48,2963,866,6 3 4 2 5 1
122,48,2934,228,6 5 4 2 3 1
123,56,2904,885,2 5 4 6 3 1
124,50,2875,836,2 5 6 4 3 1
125,45,2847,078,2 5 6 1 3 4
126,45,2818,607,2 5 6 3 1 4
127,43,2790,421,2 3 6 5 1 4
128,51,2762,517,2 3 4 5 1 6
129,44,2734,892,2 3 4 5 6 1
130,43,2707,543,1 3 4 5 6 2
131,51,2680,468,4 3 1 5 6 2
132,45,2653,663,4 3 1 2 6 5
133,39,2627,126,1 3 4 2 6 5
134,45,2600,855,4 3 1 2 6 5
135,52,2574,846,4 3 5 2 6 1
136,50,2549,098,2 3 5 4 6 1
137,49,2523,607,1 3 5 4 6 2
138,43,2498,371,1 3 5 4 2 6
139,39,2473,387,1 5 3 4 2 6
140,37,2448,653,1 5 3 6 2 4
141,39,2424,167,1 5 3 6 4 2
142,35,2399,925,1 6 3 5 4 2
143,47,2375,926,1 6 4 5 3 2
144,55,2352,167,5 6 4 1 3 2
145,52,2328,645,5 6 4 2 3 1
146,56,2305,358,3 6 4 2 5 1
147,52,2282,305,5 6 4 2 3 1
148,46,2259,482,5 6 4 3 2 1
149,47,2236,887,5 6 1 3 2 4
150,33,2214,518,1 6 5 3 2 4
151,41,2192,373,2 6 5 3 1 4
152,43,2170,449,4 6 5 3 1 2
153,43,2148,745,4 5 6 3 1 2
154,53,2127,257,4 5 6 1 3 2
155,46,2105,985,4 5 6 1 2 3
156,44,2084,925,4 5 6 3 2 1
157,46,2064,075,4 2 6 3 5 1
158,42,2043,435,2 4 6 3 5 1
159,46,2023,4 2 6 3 5 1
160,53,2002,77,4 2 6 3 1 5
161,39,1982,743,1 2 6 3 4 5
162,53,1962,915,4 2 6 3 1 5
163,49,1943,286,4 2 6 1 3 5
164,48,1923,853,4 2 6 1 5 3
165,51,1904,615,4 2 3 1 5 6
166,49,1885,569,3 2 4 1 5 6
167,59,1866,713,3 2 6 1 5 4
168,59,1848,046,3 4 6 1 5 2
169,39,1829,565,3 5 6 1 4 2
170,49,1811,27,3 5 1 6 4 2
171,39,1793,157,3 5 6 1 4 2
172,51,1775,225,3 5 2 1 4 6
173,59,1757,473,3 1 2 5 4 6
174,63,1739,899,3 1 4 5 2 6
175,51,1722,5,3 1 4 2 5 6
176,31,1705,275,2 1 4 3 5 6
177,37,1688,222,2 1 4 5 3 6
178,45,1671,34,2 1 3 5 4 6
179,36,1654,626,2 1 6 5 4 3
180,39,1638,08,2 1 6 3 4 5
181,49,1621,699,2 3 6 1 4 5
182,45,1605,482,1 3 6 2 4 5
183,55,1589,427,3 1 6 2 4 5
184,43,1573,533,3 6 1 2 4 5
185,47,1557,798,3 6 4 2 1 5
186,53,1542,22,4 6 3 2 1 5
187,47,1526,797,3 6 4 2 1 5
188,43,1511,53,1 6 4 2 3 5
189,49,1496,414,4 6 1 2 3 5
190,51,1481,45,4 5 1 2 3 6
191,55,1466,636,4 5 1 6 3 2
192,51,1451,969,4 3 1 6 5 2
193,49,1437,45,3 4 1 6 5 2
194,34,1423,075,2 4 1 6 5 3
195,49,1408,844,3 4 1 6 5 2
196,39,1394,756,1 4 3 6 5 2
197,43,1380,808,5 4 3 6 1 2
198,55,1367,5 2 3 6 1 4
199,43,1353,33,5 4 3 6 1 2
200,39,1339,797,1 4 3 6 5 2
201,51,1326,399,4 1 3 6 5 2
202,39,1313,135,1 4 3 6 5 2
203,43,1300,004,5 4 3 6 1 2
204,51,1287,004,5 4 6 3 1 2
205,47,1274,134,6 4 5 3 1 2
206,43,1261,392,2 4 5 3 1 6
207,42,1248,778,2 4 5 6 1 3
208,54,1236,291,5 4 2 6 1 3
209,43,1223,928,5 4 3 6 1 2
210,46,1211,688,5 4 3 6 2 1
211,58,1199,572,5 4 1 6 2 3
212,34,1187,576,2 4 1 6 5 3
213,49,1175,7,3 4 1 6 5 2
214,49,1163,943,3 5 1 6 4 2
215,54,1152,304,2 5 1 6 4 3
216,47,1140,781,2 5 1 6 3 4
217,55,1129,373,4 5 1 6 3 2
218,57,1118,079,4 5 1 3 6 2
219,39,1106,898,4 2 1 3 6 5
220,45,1095,829,4 3 1 2 6 5
221,47,1084,871,4 3 6 2 1 5
222,41,1074,022,5 3 6 2 1 4
223,47,1063,282,4 3 6 2 1 5
224,53,1052,649,4 1 6 2 3 5
225,47,1042,123,4 3 6 2 1 5
226,53,1031,702,3 4 6 2 1 5
227,45,1021,385,3 4 6 5 1 2
228,41,1011,171,3 5 6 4 1 2
229,45,1001,059,3 4 6 5 1 2
230,53,991,0483,3 2 6 5 1 4
231,43,981,1379,2 3 6 5 1 4
232,45,971,3265,2 5 6 3 1 4
233,35,961,6132,2 1 6 3 5 4
234,49,951,9971,2 3 6 1 5 4
235,49,942,4771,2 3 5 1 6 4
236,43,933,0524,2 3 4 1 6 5
237,45,923,7219,6 3 4 1 2 5
238,35,914,4846,6 3 5 1 2 4
239,54,905,3398,6 4 5 1 2 3
240,42,896,2864,6 4 2 1 5 3
241,42,887,3235,6 5 2 1 4 3
242,44,878,4503,2 5 6 1 4 3
243,52,869,6658,2 5 6 4 1 3
244,48,860,9691,4 5 6 2 1 3
245,38,852,3594,1 5 6 2 4 3
246,36,843,8358,6 5 1 2 4 3
247,43,835,3975,6 3 1 2 4 5
248,45,827,0435,4 3 1 2 6 5
249,39,818,773,1 3 4 2 6 5
250,41,810,5853,1 3 4 2 5 6
251,39,802,4794,1 3 4 2 6 5
252,44,794,4547,1 5 4 2 6 3
253,38,786,5101,1 5 6 2 4 3
254,45,778,645,1 3 6 2 4 5
255,44,770,8586,5 3 6 2 4 1
256,44,763,15,5 6 3 2 4 1
257,34,755,5186,5 6 3 4 2 1
258,40,747,9634,5 3 6 4 2 1
259,50,740,4838,5 3 2 4 6 1
260,47,733,0789,5 3 2 1 6 4
261,43,725,7481,5 6 2 1 3 4
262,43,718,4906,6 5 2 1 3 4
263,47,711,3057,1 5 2 6 3 4
264,45,704,1926,5 1 2 6 3 4
265,47,697,1507,3 1 2 6 5 4
266,46,690,1792,3 4 2 6 5 1
267,34,683,2774,1 4 2 6 5 3
268,42,676,4446,6 4 2 1 5 3
269,48,669,6802,6 4 1 2 5 3
270,48,662,9834,5 4 1 2 6 3
271,50,656,3536,1 4 5 2 6 3
272,46,649,79,1 4 5 6 2 3
273,58,643,2921,5 4 1 6 2 3
274,46,636,8592,5 6 1 4 2 3
275,58,630,4906,5 4 1 6 2 3
276,60,624,1857,4 5 1 6 2 3
277,54,617,9438,4 1 5 6 2 3
278,50,611,7643,4 2 5 6 1 3
279,58,605,6467,5 2 4 6 1 3
280,62,599,5903,5 1 4 6 2 3
281,56,593,5944,5 1 6 4 2 3
282,59,587,6584,3 1 6 4 2 5
283,45,581,7819,3 1 2 4 6 5
284,59,575,9641,3 1 6 4 2 5
285,63,570,2044,3 1 6 4 5 2
286,43,564,5024,3 1 2 4 5 6
287,43,558,8574,1 3 2 4 5 6
288,41,553,2688,1 3 4 2 5 6
289,53,547,7361,1 3 4 5 2 6
290,46,542,2587,6 3 4 5 2 1
291,54,536,8361,3 6 4 5 2 1
292,53,531,4678,3 6 4 1 2 5
293,45,526,1531,6 3 4 1 2 5
294,46,520,8915,6 3 4 5 2 1
295,48,515,6826,6 2 4 5 3 1
296,47,510,5258,6 2 4 1 3 5
297,49,505,4205,4 2 6 1 3 5
298,44,500,3663,4 2 6 5 3 1
299,42,495,3627,4 3 6 5 2 1
300,46,490,4091,6 3 4 5 2 1
301,58,485,505,6 1 4 5 2 3
302,63,480,6499,3 1 4 5 2 6
303,49,475,8434,3 1 6 5 2 4
304,54,471,085,4 1 6 5 2 3
305,42,466,3742,4 3 6 5 2 1
306,44,461,7104,4 2 6 5 3 1
307,50,457,0934,4 2 6 5 1 3
308,46,452,5224,2 4 6 5 1 3
309,42,447,9972,2 4 5 6 1 3
310,42,443,5172,2 4 5 6 1 3
311,44,439,082,2 4 5 1 6 3
312,44,434,6912,2 4 6 1 5 3
313,46,430,3443,2 4 6 5 1 3
314,50,426,0409,1 4 6 5 2 3
315,44,421,7805,1 5 6 4 2 3
316,38,417,5627,1 5 6 2 4 3
317,42,413,387,3 5 6 2 4 1
318,38,409,2531,1 5 6 2 4 3
319,44,405,1606,1 5 4 2 6 3
320,50,401,109,4 5 1 2 6 3
321,54,397,0979,2 5 1 4 6 3
322,48,393,127,1 5 2 4 6 3
323,45,389,1957,1 3 2 4 6 5
324,49,385,3037,6 3 2 4 1 5
325,35,381,4507,6 1 2 4 3 5
326,38,377,6362,6 1 2 4 5 3
327,46,373,8598,6 1 4 2 5 3
328,51,370,1212,3 1 4 2 5 6
329,46,366,42,6 1 4 2 5 3
330,36,362,7558,2 1 4 6 5 3
331,57,359,1282,3 1 4 6 5 2
332,36,355,537,2 1 4 6 5 3
333,58,351,9816,2 5 4 6 1 3
334,54,348,4618,2 5 1 6 4 3
335,52,344,9772,5 2 1 6 4 3
336,52,341,5274,5 2 1 4 6 3
337,46,338,1121,5 6 1 4 2 3
338,36,334,731,5 6 1 2 4 3
339,50,331,3837,2 6 1 5 4 3
340,59,328,0698,2 3 1 5 4 6
341,61,324,7891,4 3 1 5 2 6
342,59,321,5412,4 3 1 6 2 5
343,61,318,3258,4 3 1 5 2 6
344,47,315,1425,4 3 1 2 5 6
345,57,311,9911,4 1 3 2 5 6
346,41,308,8712,4 1 2 3 5 6
347,43,305,7825,4 1 2 3 6 5
348,37,302,7247,1 4 2 3 6 5
349,49,299,6974,1 6 2 3 4 5
350,55,296,7004,1 5 2 3 4 6
351,57,293,7334,2 5 1 3 4 6
352,42,290,7961,2 5 6 3 4 1
353,50,287,8881,2 5 6 4 3 1
354,56,285,0092,2 5 4 6 3 1
355,48,282,1591,2 3 4 6 5 1
356,45,279,3376,2 3 4 1 5 6
357,31,276,5442,2 1 4 3 5 6
358,51,273,7787,3 1 4 2 5 6
359,51,271,041,3 1 4 2 5 6
360,51,268,3305,5 1 4 2 3 6
361,52,265,6472,5 6 4 2 3 1
362,56,262,9908,5 2 4 6 3 1
363,48,260,3608,4 2 5 6 3 1
