Iteration,Cost,Temperature,Sequence
0,529,5000,21 15 7 5 14 2 17 6 4 3 16 23 18 13 22 11 12 20 8 1 19 9 10 24
1,521,4999,21 15 7 5 14 2 17 6 4 3 16 23 18 22 13 11 12 20 8 1 19 9 10 24
2,535,4997,21 15 7 5 14 2 17 6 4 3 16 19 18 22 13 11 12 20 8 1 23 9 10 24
3,545,4994,21 15 7 5 14 2 17 6 4 19 16 3 18 22 13 11 12 20 8 1 23 9 10 24
4,537,4990,21 15 7 5 14 2 17 6 4 19 9 3 18 22 13 11 12 20 8 1 23 16 10 24
5,511,4985,21 15 7 5 14 2 17 6 4 19 9 3 18 22 13 11 12 20 8 1 10 16 23 24
6,507,4979,21 15 7 9 14 2 17 6 4 19 5 3 18 22 13 11 12 20 8 1 10 16 23 24
7,512,4972,21 24 7 9 14 2 17 6 4 19 5 3 18 22 13 11 12 20 8 1 10 16 23 15
8,500,4964,21 24 7 9 14 2 17 6 4 19 5 3 18 22 11 13 12 20 8 1 10 16 23 15
9,516,4955,21 24 7 9 14 2 17 10 4 19 5 3 18 22 11 13 12 20 8 1 6 16 23 15
10,532,4945,21 24 7 9 14 2 17 10 4 19 5 3 18 22 11 13 12 1 8 20 6 16 23 15
11,528,4934,21 24 7 9 14 2 13 10 4 19 5 3 18 22 11 17 12 1 8 20 6 16 23 15
12,522,4922,21 24 7 9 14 2 13 10 4 19 5 3 15 22 11 17 12 1 8 20 6 16 23 18
13,522,4909,21 24 7 9 14 2 13 10 4 19 5 3 15 22 12 17 11 1 8 20 6 16 23 18
14,512,4895,21 24 7 9 14 2 13 10 4 19 5 3 15 22 12 17 6 1 8 20 11 16 23 18
15,564,4880,21 24 7 23 14 2 13 10 4 19 5 3 15 22 12 17 6 1 8 20 11 16 9 18
16,556,4864,21 24 7 23 17 2 13 10 4 19 5 3 15 22 12 14 6 1 8 20 11 16 9 18
17,542,4847,21 24 7 23 17 2 13 10 16 19 5 3 15 22 12 14 6 1 8 20 11 4 9 18
18,556,4829,24 21 7 23 17 2 13 10 16 19 5 3 15 22 12 14 6 1 8 20 11 4 9 18
19,536,4810,24 21 7 23 17 2 13 10 16 19 5 3 15 22 18 14 6 1 8 20 11 4 9 12
20,498,4790,24 21 7 23 17 2 1 10 16 19 5 3 15 22 18 14 6 13 8 20 11 4 9 12
21,498,4769,24 21 7 23 17 2 1 11 16 19 5 3 15 22 18 14 6 13 8 20 10 4 9 12
22,506,4747,24 21 7 23 17 2 1 11 16 14 5 3 15 22 18 19 6 13 8 20 10 4 9 12
23,514,4724,24 21 7 23 17 2 1 11 16 14 9 3 15 22 18 19 6 13 8 20 10 4 5 12
24,502,4700,24 21 7 23 17 2 1 6 16 14 9 3 15 22 18 19 11 13 8 20 10 4 5 12
25,520,4675,24 21 7 23 17 2 6 1 16 14 9 3 15 22 18 19 11 13 8 20 10 4 5 12
26,526,4649,24 21 7 23 17 2 6 1 16 14 9 3 5 22 18 19 11 13 8 20 10 4 15 12
27,496,4622,2 21 7 23 17 24 6 1 16 14 9 3 5 22 18 19 11 13 8 20 10 4 15 12
28,490,4594,2 21 7 23 17 24 16 1 6 14 9 3 5 22 18 19 11 13 8 20 10 4 15 12
29,504,4565,2 21 7 23 17 24 16 1 6 14 9 3 5 22 18 11 19 13 8 20 10 4 15 12
30,504,4535,2 21 7 23 17 24 10 1 6 14 9 3 5 22 18 11 19 13 8 20 16 4 15 12
31,504,4504,2 21 17 23 7 24 10 1 6 14 9 3 5 22 18 11 19 13 8 20 16 4 15 12
32,528,4472,2 21 17 23 7 24 10 1 19 14 9 3 5 22 18 11 6 13 8 20 16 4 15 12
33,520,4439,2 21 17 23 7 24 10 1 19 14 8 3 5 22 18 11 6 13 9 20 16 4 15 12
34,544,4405,2 21 17 23 7 24 10 1 19 14 16 3 5 22 18 11 6 13 9 20 8 4 15 12
35,518,4370,2 21 17 23 7 24 10 1 19 14 16 3 5 22 18 11 15 13 9 20 8 4 6 12
36,530,4334,2 21 17 23 7 24 10 1 16 14 19 3 5 22 18 11 15 13 9 20 8 4 6 12
37,518,4297,2 21 17 23 7 24 10 1 16 14 20 3 5 22 18 11 15 13 9 19 8 4 6 12
38,506,4259,2 21 20 23 7 24 10 1 16 14 17 3 5 22 18 11 15 13 9 19 8 4 6 12
39,510,4220,2 21 20 23 7 24 10 1 16 4 17 3 5 22 18 11 15 13 9 19 8 14 6 12
40,504,4180,2 21 20 23 7 24 10 18 16 4 17 3 5 22 1 11 15 13 9 19 8 14 6 12
41,492,4139,2 21 20 23 7 24 10 18 16 9 17 3 5 22 1 11 15 13 4 19 8 14 6 12
42,489,4097,2 21 20 23 7 24 10 18 16 9 17 3 5 22 1 11 15 13 4 19 8 14 12 6
43,501,4054,2 21 20 23 7 24 10 18 16 9 17 3 5 22 1 11 15 13 8 19 4 14 12 6
44,503,4010,2 21 20 23 7 24 10 18 16 9 17 3 14 22 1 11 15 13 8 19 4 5 12 6
45,510,3965,2 21 20 23 7 24 10 18 16 6 17 3 14 22 1 11 15 13 8 19 4 5 12 9
46,510,3919,2 21 20 23 7 1 10 18 16 6 17 3 14 22 24 11 15 13 8 19 4 5 12 9
47,518,3872,2 21 20 23 7 1 10 18 16 6 17 3 14 22 24 11 15 13 8 19 9 5 12 4
48,478,3824,2 7 20 23 21 1 10 18 16 6 17 3 14 22 24 11 15 13 8 19 9 5 12 4
49,466,3775,2 7 20 23 21 1 10 18 16 6 17 3 14 22 24 8 15 13 11 19 9 5 12 4
50,480,3725,2 7 18 23 21 1 10 20 16 6 17 3 14 22 24 8 15 13 11 19 9 5 12 4
51,492,3674,10 7 18 23 21 1 2 20 16 6 17 3 14 22 24 8 15 13 11 19 9 5 12 4
52,494,3622,10 7 18 23 21 1 2 20 16 9 17 3 14 22 24 8 15 13 11 19 6 5 12 4
53,524,3569,10 7 18 23 21 22 2 20 16 9 17 3 14 1 24 8 15 13 11 19 6 5 12 4
54,526,3515,10 7 18 23 21 11 2 20 16 9 17 3 14 1 24 8 15 13 22 19 6 5 12 4
55,528,3460,10 7 18 23 21 11 2 20 14 9 17 3 16 1 24 8 15 13 22 19 6 5 12 4
56,542,3404,10 7 23 18 21 11 2 20 14 9 17 3 16 1 24 8 15 13 22 19 6 5 12 4
57,531,3347,10 7 23 18 21 11 4 20 14 9 17 3 16 1 24 8 15 13 22 19 6 5 12 2
58,525,3289,10 7 23 18 21 19 4 20 14 9 17 3 16 1 24 8 15 13 22 11 6 5 12 2
59,541,3230,10 7 12 18 21 19 4 20 14 9 17 3 16 1 24 8 15 13 22 11 6 5 23 2
60,507,3170,10 7 12 18 21 19 4 8 14 9 17 3 16 1 24 20 15 13 22 11 6 5 23 2
61,532,3109,10 7 12 18 2 19 4 8 14 9 17 3 16 1 24 20 15 13 22 11 6 5 23 21
62,484,3047,10 7 12 18 24 19 4 8 14 9 17 3 16 1 2 20 15 13 22 11 6 5 23 21
63,518,2984,10 7 12 18 24 19 4 8 14 9 17 3 16 15 2 20 1 13 22 11 6 5 23 21
64,534,2920,10 7 12 18 19 24 4 8 14 9 17 3 16 15 2 20 1 13 22 11 6 5 23 21
65,513,2855,10 7 12 18 19 21 4 8 14 9 17 3 16 15 2 20 1 13 22 11 6 5 23 24
66,529,2789,10 7 12 18 15 21 4 8 14 9 17 3 16 19 2 20 1 13 22 11 6 5 23 24
67,521,2722,10 7 1 18 15 21 4 8 14 9 17 3 16 19 2 20 12 13 22 11 6 5 23 24
68,519,2654,12 7 1 18 15 21 4 8 14 9 17 3 16 19 2 20 10 13 22 11 6 5 23 24
69,547,2585,12 7 1 18 15 21 4 8 14 9 17 3 16 19 2 20 10 6 22 11 13 5 23 24
70,507,2515,12 7 1 18 15 21 4 8 14 9 17 3 16 6 2 20 10 19 22 11 13 5 23 24
71,485,2444,12 7 13 18 15 21 4 8 14 9 17 3 16 6 2 20 10 19 22 11 1 5 23 24
72,529,2372,12 21 13 18 15 7 4 8 14 9 17 3 16 6 2 20 10 19 22 11 1 5 23 24
73,507,2299,12 21 13 18 15 7 4 8 14 9 17 3 16 6 2 23 10 19 22 11 1 5 20 24
74,507,2225,12 21 13 18 15 7 4 14 8 9 17 3 16 6 2 23 10 19 22 11 1 5 20 24
75,487,2150,12 21 13 18 15 7 11 14 8 9 17 3 16 6 2 23 10 19 22 4 1 5 20 24
76,497,2074,12 21 13 18 15 22 11 14 8 9 17 3 16 6 2 23 10 19 7 4 1 5 20 24
77,539,1997,12 21 13 18 15 22 11 14 8 1 17 3 16 6 2 23 10 19 7 4 9 5 20 24
78,531,1919,12 21 13 7 15 22 11 14 8 1 17 3 16 6 2 23 10 19 18 4 9 5 20 24
79,535,1840,12 21 13 7 9 22 11 14 8 1 17 3 16 6 2 23 10 19 18 4 15 5 20 24
