Iteration,Cost,Sequence
1,207,15 7 5 14 2 17 6 4 3 16 13 11 12 8 1 9 10
2,207,4 10 9 14 8 12 11 6 1 17 5 3 2 13 16 7 15
3,233,13 10 15 7 3 8 2 6 9 1 14 4 5 12 11 17 16
4,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
5,218,4 12 13 11 1 15 16 7 8 17 3 9 10 2 6 5 14
6,201,14 5 4 6 16 3 7 12 2 15 17 9 10 1 11 8 13
7,233,2 13 12 16 17 3 11 15 9 4 14 5 1 8 6 7 10
8,211,5 2 4 7 12 9 14 10 17 11 3 6 16 1 15 8 13
9,194,2 13 9 1 3 16 15 5 6 8 12 7 11 10 17 4 14
10,229,10 12 2 4 6 14 1 17 8 15 11 5 3 13 7 9 16
11,209,15 10 3 5 1 16 8 7 17 6 4 11 14 9 12 2 13
12,207,6 10 16 8 12 13 11 1 14 7 4 3 9 5 15 17 2
13,219,10 3 16 2 1 8 15 4 5 17 9 11 14 12 7 6 13
14,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
15,231,13 8 16 11 15 12 1 4 3 9 6 10 14 17 5 7 2
16,253,11 15 3 12 10 13 5 14 8 2 7 4 1 16 9 6 17
17,223,8 15 2 5 4 17 14 3 13 10 6 16 12 7 11 1 9
18,195,5 16 11 6 1 8 9 12 10 2 14 17 13 3 4 15 7
19,211,12 11 14 5 16 13 3 10 15 4 17 7 2 1 6 8 9
20,225,7 13 12 16 14 10 1 11 4 6 3 2 5 8 17 9 15
21,265,12 5 14 7 10 3 17 9 4 6 16 1 8 15 13 11 2
22,233,7 1 3 4 12 14 5 13 2 17 6 8 10 9 15 16 11
23,209,13 2 10 14 3 17 4 9 5 15 11 8 7 1 12 6 16
24,235,5 4 7 2 3 11 6 17 14 9 15 8 13 16 10 1 12
25,196,13 4 16 8 10 2 15 7 9 6 5 12 11 17 3 1 14
26,211,2 4 12 13 14 9 11 10 17 8 16 1 3 6 15 7 5
27,241,12 7 3 5 17 14 1 13 9 16 15 6 2 8 4 11 10
28,203,3 13 1 8 7 2 5 16 4 12 14 10 9 11 17 15 6
29,204,8 17 2 13 5 15 14 6 9 12 3 11 16 7 4 10 1
30,201,9 3 17 10 16 12 13 11 1 14 5 4 15 2 6 8 7
